##name	Military glossary by Adel
##sourceLang	English
##targetLang	Arabic
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1256
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1256
##sourceCharset	UTF-8
##targetCharset	UTF-8
##author	Adel
##description	
##browsingEnabled	
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_creationTime	2013/03/20, 20:43
##bgl_middleUpdated	2013/03/20, 20:45
##bgl_lastUpdated	2013/03/20, 20:45
15VPS	Abbr.: 15VPS<br>\nMeaning: 15 Volt Power Supply<br>\nالمعنى العربي: <br>
LAPES	Abbr.: LAPES<br>\nMeaning: low altitude extraction system<br>\nالمعنى العربي: نظام التقاط من ارتفاع منخفض<br>
LAV	Abbr.: LAV<br>\nMeaning: Light Armored Vehicle<br>\nالمعنى العربي: آاية مدرعة خفيفة<br>
LAW	Abbr.: LAW<br>\nMeaning: light antitank weapon<br>\nالمعنى العربي: سلاح خفيف مضاد للدبابات<br>
LC	Abbr.: LC<br>\nMeaning: line of contact<br>\nالمعنى العربي: خط الاتصال (التماس)<br>
LCE	Abbr.: LCE<br>\nMeaning: load carrying equipment<br>\nالمعنى العربي: معدات تحميل الشحنات<br>
LCM	Abbr.: LCM<br>\nMeaning: landing craft, mechanized<br>\nالمعنى العربي: معدة انزال آلية<br>
LCU	Abbr.: LCU<br>\nMeaning: landing craft, utility<br>\nالمعنى العربي: معدة انزال خدمة عامة<br>
LD	Abbr.: LD<br>\nMeaning: Line of Departure<br>\nالمعنى العربي: خط البدء<br>
LD	Abbr.: LD<br>\nMeaning: line of departure<br>\nالمعنى العربي: خط الابتداء<br>
LEA	Abbr.: LEA<br>\nMeaning: law enforcement agency<br>\nالمعنى العربي: وكالة تطبيق القانون<br>
LHR	Abbr.: LHR<br>\nMeaning: Launcher<br>\nالمعنى العربي: <br>
LMC	Abbr.: LMC<br>\nMeaning: Lockheed Martin Company<br>\nالمعنى العربي: شركة لوكهيد مارتن<br>
LO	Abbr.: LO<br>\nMeaning: Liasion Officer<br>\nالمعنى العربي: ضابط إتصال (إرتباط)<br>
LO	Abbr.: LO<br>\nMeaning: liaison officer<br>\nالمعنى العربي: ضابط ارتباط<br>
LOB	Abbr.: LOB<br>\nMeaning: line of bearing<br>\nالمعنى العربي: خط الاتجاه<br>
LOC	Abbr.: LOC<br>\nMeaning: lines of communication<br>\nالمعنى العربي: خطوط المواصلات<br>
LOGPAC	Abbr.: LOGPAC<br>\nMeaning: logistic package<br>\nالمعنى العربي: حزمة ادارية<br>
LOGSEC	Abbr.: LOGSEC<br>\nMeaning: logistic security<br>\nالمعنى العربي: الأمن الاداري<br>
LOS	Abbr.: LOS<br>\nMeaning: Line Of Sight<br>\nالمعنى العربي: <br>
LOS	Abbr.: LOS<br>\nMeaning: line of sight<br>\nالمعنى العربي: خط البصر<br>
LOS-R	Abbr.: LOS-R<br>\nMeaning: line of sight- rear<br>\nالمعنى العربي: خط البصر للخلف<br>
LOSAT	Abbr.: LOSAT<br>\nMeaning: Line-Of-Sight Anti-Tank missile<br>\nالمعنى العربي: <br>
LP	Abbr.: LP<br>\nMeaning: listening post<br>\nالمعنى العربي: مركز تنصت<br>
LPS	Abbr.: LPS<br>\nMeaning: LRU Power Supply<br>\nالمعنى العربي: <br>
LRF	Abbr.: LRF<br>\nMeaning: Laser Rangefinder<br>\nالمعنى العربي: <br>
LRF	Abbr.: LRF<br>\nMeaning: lazer range finder<br>\nالمعنى العربي: مقدر مسافة بالليزر<br>
LRS	Abbr.: LRS<br>\nMeaning: long range surveillance<br>\nالمعنى العربي: مراقبة بعيدة المدى<br>
LRSD	Abbr.: LRSD<br>\nMeaning: long range surveil. Detachm.<br>\nالمعنى العربي: مفرزة مراقبة بعيدة المدى<br>
LRSU	Abbr.: LRSU<br>\nMeaning: long range surveillance unit<br>\nالمعنى العربي: وحدة مراقبة بعيدة المدى<br>
LRU	Abbr.: LRU<br>\nMeaning: Line replacement Unit<br>\nالمعنى العربي: <br>
LRU	Abbr.: LRU<br>\nMeaning: Line Replaceable Unit<br>\nالمعنى العربي: <br>
LSA	Abbr.: LSA<br>\nMeaning: life support area<br>\nالمعنى العربي: منطقة اسناد الحياة<br>
LSB	Abbr.: LSB<br>\nMeaning: Load Switching Box<br>\nالمعنى العربي: <br>
LSC	Abbr.: LSC<br>\nMeaning: life support center<br>\nالمعنى العربي: مركز اسناد الحياة<br>
LSD	Abbr.: LSD<br>\nMeaning: landing ship, docks<br>\nالمعنى العربي: سفينة انزال ارصفة<br>
LSDIS	Abbr.: LSDIS<br>\nMeaning: light &amp;spec. div interim sensor<br>\nالمعنى العربي: حساس انتقالي فرقة خفيفة وخاصة<br>
LST	Abbr.: LST<br>\nMeaning: landing ship, tanks<br>\nالمعنى العربي: سفينة انزال دبابات<br>
LTACFIRE	Abbr.: LTACFIRE<br>\nMeaning: lightweight tac fire direc system<br>\nالمعنى العربي: نظام توجيه نيران تك خفيف الحركة<br>
LTAS	Abbr.: LTAS<br>\nMeaning: Lower Target Acquisition System<br>\nالمعنى العربي: <br>
LZ	Abbr.: LZ<br>\nMeaning: landing zone<br>\nالمعنى العربي: منطقة هبوط/ انزال<br>
Lion range	Abbr.: Lion range<br>\nMeaning: <br>\nالمعنى العربي: ميدان الرماية أسد (خميس مشيط)<br>
Logistics	Abbr.: Logistics<br>\nMeaning: <br>\nالمعنى العربي: الإمدادات<br>
M/S	Abbr.: M/S<br>\nMeaning: mobility &amp; survivability<br>\nالمعنى العربي: خفة الحركة والقدرة على البقاء<br>
M109 Howitzer	Abbr.: M109 Howitzer<br>\nMeaning: <br>\nالمعنى العربي: مدفع هاوتزر م109<br>
M1A2S	Abbr.: M1A2S<br>\nMeaning: <br>\nالمعنى العربي: دبابة القتال إبرامز م1أ2 س (السعودية)<br>
M1A3	Abbr.: M1A3<br>\nMeaning: Abrams main battle tank, notional future version<br>\nالمعنى العربي: <br>
M2A3	Abbr.: M2A3<br>\nMeaning: Bradley fighting vehicle, latest infantry version<br>\nالمعنى العربي: <br>
M2A4	Abbr.: M2A4<br>\nMeaning: Bradley fighting vehicle, notional future version<br>\nالمعنى العربي: <br>
M3A3	Abbr.: M3A3<br>\nMeaning: Bradley fighting vehicle, latest cavalry version<br>\nالمعنى العربي: <br>
MA	Abbr.: MA<br>\nMeaning: mortuary affairs<br>\nالمعنى العربي: شئون الموتى<br>
MACG	Abbr.: MACG<br>\nMeaning: marshalling area control group<br>\nالمعنى العربي: مجموعة السيطرة على منطقة التنظيم<br>
MACOM	Abbr.: MACOM<br>\nMeaning: major Army command<br>\nالمعنى العربي: قيادة جيش رئيسية<br>
MANPAD	Abbr.: MANPAD<br>\nMeaning: man- portable air defence<br>\nالمعنى العربي: نظام دفاع جوي محمول على الكتف<br>
MBA	Abbr.: MBA<br>\nMeaning: main battle area<br>\nالمعنى العربي: منطقة المعركة الرئيسية<br>
MCO	Abbr.: MCO<br>\nMeaning: movement control office ®<br>\nالمعنى العربي: مكتب السيطرة على التحركات<br>
MCOO	Abbr.: MCOO<br>\nMeaning: modifi. Combi. obstacl. overlay<br>\nالمعنى العربي: شفاف العوائق المجمع المعدل<br>
MCS	Abbr.: MCS<br>\nMeaning: Missile Control Set<br>\nالمعنى العربي: <br>
MCS	Abbr.: MCS<br>\nMeaning: maneuvre control system<br>\nالمعنى العربي: نظام السيطرة على المناورة<br>
MEDEVAC	Abbr.: MEDEVAC<br>\nMeaning: medical evacuation<br>\nالمعنى العربي: اخلاء طبي<br>
METL	Abbr.: METL<br>\nMeaning: Mission Essential Task List<br>\nالمعنى العربي: قائمة الواجبات الأساسية للمهمة<br>
METL	Abbr.: METL<br>\nMeaning: mission essential task list<br>\nالمعنى العربي: قائمة الواجبات الأساسية للمهمة<br>
METT-T	Abbr.: METT-T<br>\nMeaning: Mission, Enemy, Terrain, Troops &amp; Time Available<br>\nالمعنى العربي: <br>
METT-T	Abbr.: METT-T<br>\nMeaning: mission enemy terrain troops time <br>\nالمعنى العربي: المهمة العدو الأرض القوات الوقت<br>
METT-T-P	Abbr.: METT-T-P<br>\nMeaning: mission enemy terrain troops time pol. Fact. <br>\nالمعنى العربي: المهمة العدو الأرض القوات الوقت عوامل سياسية<br>
METT-TC	Abbr.: METT-TC<br>\nMeaning: Mission, Enemy, Terrain and Weather, Troops and Support available, Time available, Civil considerations<br>\nالمعنى العربي: المهمة ، العدو ، الأرض والطقس ، القوات والإسناد المتوفران ، الوقت المتوفر ، الإعتبارات المدنية<br>
MFM	Abbr.: MFM<br>\nMeaning: M1A2 Functions Module<br>\nالمعنى العربي: <br>
MFM/E	Abbr.: MFM/E<br>\nMeaning: MFM/Enhanced<br>\nالمعنى العربي: <br>
MG	Abbr.: MG<br>\nMeaning: Major General<br>\nالمعنى العربي: لواء (رتبة)<br>
MG	Abbr.: MG<br>\nMeaning: Master Gunner<br>\nالمعنى العربي: رامي ماهر<br>
MG	Abbr.: MG<br>\nMeaning: machine gun<br>\nالمعنى العربي: مدفع رشاش<br>
MGz	Abbr.: MGz<br>\nMeaning: megahertz<br>\nالمعنى العربي: ميجا هيرتز<br>
MHA	Abbr.: MHA<br>\nMeaning: Mounting Housing Assembly<br>\nالمعنى العربي: <br>
MI	Abbr.: MI<br>\nMeaning: military intelligence<br>\nالمعنى العربي: استخبارات عسكرية<br>
MIA	Abbr.: MIA<br>\nMeaning: missing in action<br>\nالمعنى العربي: مفقود في العمليات<br>
MIJI	Abbr.: MIJI<br>\nMeaning: meaconing jamming intrusion interference<br>\nالمعنى العربي: تعتيم وشوشرة وتدخل وتداخل الحرب الالكترونية<br>
MILES	Abbr.: MILES<br>\nMeaning: Multiple Integrated Laser Engagement System<br>\nالمعنى العربي: مشبه المايلز<br>
MILSIM	Abbr.: MILSIM<br>\nMeaning: Military Simulation<br>\nالمعنى العربي: مشبه الملسم<br>
MLRS	Abbr.: MLRS<br>\nMeaning: Multiple Launch Rocket System<br>\nالمعنى العربي: راجمة صواريخ<br>
MLRS	Abbr.: MLRS<br>\nMeaning: multiple launch rocket system<br>\nالمعنى العربي: نظام اطلاق متعدد للصواريخ<br>
MMC	Abbr.: MMC<br>\nMeaning: material management center<br>\nالمعنى العربي: مركز ادارة المواد<br>
MMU	Abbr.: MMU<br>\nMeaning: Mass Memory Unit<br>\nالمعنى العربي: <br>
MMU	Abbr.: MMU<br>\nMeaning: Mass Memory Unit<br>\nالمعنى العربي: <br>
MOG	Abbr.: MOG<br>\nMeaning: minimum on ground<br>\nالمعنى العربي: اقل الموجود على الأرض<br>
MOGAS	Abbr.: MOGAS<br>\nMeaning: motor gasoline<br>\nالمعنى العربي: بنزين محركات<br>
MOPP	Abbr.: MOPP<br>\nMeaning: mission oriented protective posture<br>\nالمعنى العربي: حالة الوقاية المناسبة للمهمة<br>
MORTREP	Abbr.: MORTREP<br>\nMeaning: mortar report<br>\nالمعنى العربي: تقرير هاون<br>
MOS	Abbr.: MOS<br>\nMeaning: military occupational speciality<br>\nالمعنى العربي: تخصص وظيفي عسكري<br>
MOUT	Abbr.: MOUT<br>\nMeaning: military operations on urbanized terrain<br>\nالمعنى العربي: عمليات عسكرية في مناطق مبنية<br>
MP	Abbr.: MP<br>\nMeaning: military police<br>\nالمعنى العربي: الشرطة العسكرية<br>
MPU	Abbr.: MPU<br>\nMeaning: Mission Processor Unit<br>\nالمعنى العربي: <br>
MRE	Abbr.: MRE<br>\nMeaning: meals ready to eat<br>\nالمعنى العربي: وجبات جاهزة للتناول (إعاشة الميدان)<br>
MRL	Abbr.: MRL<br>\nMeaning: multiple rocket launcher<br>\nالمعنى العربي: راجمة صواريخ متعدد<br>
MRR	Abbr.: MRR<br>\nMeaning: minimum risk route/ motorized rifle rgiment<br>\nالمعنى العربي: اقل طريق مخاطرة/ فوج بنادق آلي<br>
MSB	Abbr.: MSB<br>\nMeaning: main support batallion<br>\nالمعنى العربي: كتيبة اسناد رئيسية<br>
MSC	Abbr.: MSC<br>\nMeaning: major subordinate command<br>\nالمعنى العربي: قيادة رئيسية مرؤوسة<br>
MSE	Abbr.: MSE<br>\nMeaning: mobile subscriber equipment<br>\nالمعنى العربي: معدات إتصال متنقلة<br>
MSMC	Abbr.: MSMC<br>\nMeaning: main support medical company<br>\nالمعنى العربي: سرية اسناد طبي رئيسية<br>
MSR	Abbr.: MSR<br>\nMeaning: main supply route<br>\nالمعنى العربي: طريق التموين الرئيسي<br>
MTF	Abbr.: MTF<br>\nMeaning: medical treatment facility<br>\nالمعنى العربي: منشأة علاج طبي<br>
MTOE	Abbr.: MTOE<br>\nMeaning: modified tables of organizations&amp; equipment<br>\nالمعنى العربي: الجداول المعدلة للتنظيم والمعدات<br>
MTP	Abbr.: MTP<br>\nMeaning: mission training plan<br>\nالمعنى العربي: خطة التدريب على المهمة<br>
Marines	Abbr.: Marines<br>\nMeaning: <br>\nالمعنى العربي: مشاة البحرية في الجيش الأمريكي<br>
Monte Carlo	Abbr.: Monte Carlo<br>\nMeaning: A type of simulation in which random numbers are\ndrawn for every probabilistic variable in each run<br>\nالمعنى العربي: <br>
Most Likely course of Action	Abbr.: Most Likely course of Action<br>\nMeaning: <br>\nالمعنى العربي: طريقة الحل الأكثر إحتمالاً<br>
N	Abbr.: N<br>\nMeaning: Speed<br>\nالمعنى العربي: السرعة<br>
N2 range	Abbr.: N2 range<br>\nMeaning: North2 range<br>\nالمعنى العربي: ميدان الرماية شمال 2 (حفر الباطن)<br>
NAI	Abbr.: NAI<br>\nMeaning: Named Area of Interest<br>\nالمعنى العربي: منطقة إهتمام<br>
NAI	Abbr.: NAI<br>\nMeaning: named area of interest<br>\nالمعنى العربي: منطقة الاهتمام المحددة<br>
NAPP	Abbr.: NAPP<br>\nMeaning: nerve agent pretreatment pyridostigmine<br>\nالمعنى العربي: علاج وقائي ضد غازات الأعصاب<br>
NASA	Abbr.: NASA<br>\nMeaning: National Aeronautics and Space Administration<br>\nالمعنى العربي: <br>
NATO	Abbr.: NATO<br>\nMeaning: north atlantic treaty organization<br>\nالمعنى العربي: حلف شمال الأطلنطي<br>
NAVAID	Abbr.: NAVAID<br>\nMeaning: navigational aid<br>\nالمعنى العربي: مساعدات ملاحية<br>
NBC	Abbr.: NBC<br>\nMeaning: nuclear biological and chemical<br>\nالمعنى العربي: نووي جرثومي كيماوي (ن ج ك)<br>
NCA	Abbr.: NCA<br>\nMeaning: National Comm Authorities<br>\nالمعنى العربي: سلطات القيادة الوطنية<br>
NCO	Abbr.: NCO<br>\nMeaning: noncommissioned offier<br>\nالمعنى العربي: ضابط صف<br>
NCS	Abbr.: NCS<br>\nMeaning: net control station<br>\nالمعنى العربي: محطة سيطرة على الشبكة<br>
NEO	Abbr.: NEO<br>\nMeaning: noncombatt.Evac.operation<br>\nالمعنى العربي: عملية اخلاء الغير مقاتلين<br>
NFA	Abbr.: NFA<br>\nMeaning: no fire area<br>\nالمعنى العربي: منطقة منع النيران<br>
NFL	Abbr.: NFL<br>\nMeaning: no fire line<br>\nالمعنى العربي: خط منع النيران<br>
NGF	Abbr.: NGF<br>\nMeaning: naval gun fire<br>\nالمعنى العربي: نيران مدفعية بحرية<br>
NLT	Abbr.: NLT<br>\nMeaning: no later than<br>\nالمعنى العربي: ليس متاخرا عن<br>
NTC	Abbr.: NTC<br>\nMeaning: National Training Center<br>\nالمعنى العربي: مركز التدريب الوطني<br>
NUCWARN	Abbr.: NUCWARN<br>\nMeaning: nuclear warning<br>\nالمعنى العربي: تحذير نووي<br>
NVD	Abbr.: NVD<br>\nMeaning: night vision device<br>\nالمعنى العربي: جهاز رؤية ليلية<br>
NWA	Abbr.: NWA<br>\nMeaning: North West Area<br>\nالمعنى العربي: المنطقة الشمالية الغربية (تبوك)<br>
Nh	Abbr.: Nh<br>\nMeaning: High Pressure Compressor Speed<br>\nالمعنى العربي: سرعة ضاغطة الضغط العالي<br>
OCOKA	Abbr.: OCOKA<br>\nMeaning: Observation, Cover and Concealment, Obstacles, Key Terrain, Avenues of Approach<br>\nالمعنى العربي: الخصائص الطبيعية للأرض<br>
OCONUS	Abbr.: OCONUS<br>\nMeaning: ouside continental USA<br>\nالمعنى العربي: خارج قارة الولايات المتحدة<br>
OFA	Abbr.: OFA<br>\nMeaning: obstacle free area<br>\nالمعنى العربي: منطقة خالية من العوائق<br>
OIC	Abbr.: OIC<br>\nMeaning: officer in charge<br>\nالمعنى العربي: الضابط المسئول<br>
OIU	Abbr.: OIU<br>\nMeaning: Operator Interface Unit<br>\nالمعنى العربي: <br>
OMG	Abbr.: OMG<br>\nMeaning: operational mneuvre group<br>\nالمعنى العربي: مجموعة مناورة العمليات<br>
OP	Abbr.: OP<br>\nMeaning: observation post<br>\nالمعنى العربي: مركز مراقبة<br>
OPCON	Abbr.: OPCON<br>\nMeaning: Operational Control<br>\nالمعنى العربي: السيطرة العملياتية<br>
OPCON	Abbr.: OPCON<br>\nMeaning: operational  control<br>\nالمعنى العربي: سيطرة العمليات<br>
OPLAN	Abbr.: OPLAN<br>\nMeaning: operation plan<br>\nالمعنى العربي: خطة العمليات<br>
OPORD	Abbr.: OPORD<br>\nMeaning: Operations Order<br>\nالمعنى العربي: أمر عمليات<br>
OPORD	Abbr.: OPORD<br>\nMeaning: operation order<br>\nالمعنى العربي: امر العمليات<br>
OPSEC	Abbr.: OPSEC<br>\nMeaning: opration security<br>\nالمعنى العربي: امن العمليات<br>
Oil Replinisher	Abbr.: Oil Replinisher<br>\nMeaning: <br>\nالمعنى العربي: معوضة الزيت (الدبابة م1أ2)<br>
Operations overlay	Abbr.: Operations overlay<br>\nMeaning: <br>\nالمعنى العربي: شفاف العمليات<br>
Ordnance Corps	Abbr.: Ordnance Corps<br>\nMeaning: <br>\nالمعنى العربي: سلاح الصيانة<br>
Ordnance Corps	Abbr.: Ordnance Corps<br>\nMeaning: <br>\nالمعنى العربي: سلاح الصيانة<br>
Overlay	Abbr.: Overlay<br>\nMeaning: <br>\nالمعنى العربي: شفاف<br>
PA	Abbr.: PA<br>\nMeaning: public affairs<br>\nالمعنى العربي: الشئون العامة<br>
PAC	Abbr.: PAC<br>\nMeaning: personnel administra center<br>\nالمعنى العربي: مركز ادارةالأفراد<br>
PAO	Abbr.: PAO<br>\nMeaning: public affairs office<br>\nالمعنى العربي: مكتب الشئون العامة<br>
PCM	Abbr.: PCM<br>\nMeaning: Power Control Module<br>\nالمعنى العربي: <br>
PCMCIA	Abbr.: PCMCIA<br>\nMeaning: Personal Computer Memory Card International Association<br>\nالمعنى العربي: <br>
PCOFT	Abbr.: PCOFT<br>\nMeaning: Platoon Conduct of Fire Trainer<br>\nالمعنى العربي: مشبه رماية الفصيل (البيكوفت)<br>
PCU	Abbr.: PCU<br>\nMeaning: Power Control Unit<br>\nالمعنى العربي: <br>
PDU	Abbr.: PDU<br>\nMeaning: Power Distribution Unit<br>\nالمعنى العربي: <br>
PERINTREP	Abbr.: PERINTREP<br>\nMeaning: priodic intelligence report<br>\nالمعنى العربي: تقرير الاستخبارات الدوري<br>
PFN	Abbr.: PFN<br>\nMeaning: Power Forming Network<br>\nالمعنى العربي: وحدة قوى تكوين النبضات<br>
PHEAD	Abbr.: PHEAD<br>\nMeaning: Periscope Head<br>\nالمعنى العربي: <br>
PIB	Abbr.: PIB<br>\nMeaning: Position Interface Box<br>\nالمعنى العربي: <br>
PIR	Abbr.: PIR<br>\nMeaning: priority info requirements<br>\nالمعنى العربي: مطالب المعلومات ذات الأسبقية<br>
PL	Abbr.: PL<br>\nMeaning: Phase Line<br>\nالمعنى العربي: خط المرحلة<br>
PL	Abbr.: PL<br>\nMeaning: phase line<br>\nالمعنى العربي: خط المرحلة<br>
PLM	Abbr.: PLM<br>\nMeaning: Programmable Load Module<br>\nالمعنى العربي: <br>
PLO	Abbr.: PLO<br>\nMeaning: fighter liaison officer<br>\nالمعنى العربي: ضابط ارتباط المقاتلات<br>
PM	Abbr.: PM<br>\nMeaning: provost marshal<br>\nالمعنى العربي: قائد الشرطة العسكرية<br>
PMO	Abbr.: PMO<br>\nMeaning: provost marshal office<br>\nالمعنى العربي: مكتب قائد الشرطة العسكرية<br>
POC	Abbr.: POC<br>\nMeaning: point of contact<br>\nالمعنى العربي: نقطة الاتصال<br>
POL	Abbr.: POL<br>\nMeaning: petroleum oils &amp;lubricants<br>\nالمعنى العربي: وقود وزيوت وشحم<br>
POM	Abbr.: POM<br>\nMeaning: prep for overseas movem.<br>\nالمعنى العربي: التجهيز لتحرك عبر البحار<br>
POS/NAV	Abbr.: POS/NAV<br>\nMeaning: Position/Navigation Unit<br>\nالمعنى العربي: <br>
PP	Abbr.: PP<br>\nMeaning: passage point<br>\nالمعنى العربي: نقطة مرور<br>
PPI	Abbr.: PPI<br>\nMeaning: personnel point of impact<br>\nالمعنى العربي: نقطة التأثير في الأفراد<br>
PSA	Abbr.: PSA<br>\nMeaning: Power Supply Assembly<br>\nالمعنى العربي: <br>
PSC	Abbr.: PSC<br>\nMeaning: personnel support company<br>\nالمعنى العربي: سرية اسناد الأفراد<br>
PSYOP	Abbr.: PSYOP<br>\nMeaning: psychological operations<br>\nالمعنى العربي: العمليات النفسية<br>
PTS	Abbr.: PTS<br>\nMeaning: Power Turbine Stator<br>\nالمعنى العربي: العضو الثابت لمجموعة القدرة التوربينية<br>
PZ	Abbr.: PZ<br>\nMeaning: pickup zone<br>\nالمعنى العربي: منطقة الالتقاط<br>
Platoon	Abbr.: Platoon<br>\nMeaning: <br>\nالمعنى العربي: فصيل<br>
Platoon Leader	Abbr.: Platoon Leader<br>\nMeaning: <br>\nالمعنى العربي: قائد فصيل<br>
Quartering Party	Abbr.: Quartering Party<br>\nMeaning: <br>\nالمعنى العربي: جماعة الإيواء<br>
Quickfix	Abbr.: Quickfix<br>\nMeaning: tactical heliborne commo intercept<br>\nالمعنى العربي: نظام حرب الكترونية مضادة واعتراض اشارة<br>
Quicklookairborne noncommunications	Abbr.: Quicklookairborne noncommunications<br>\nMeaning:   airborne noncommunications<br>\nالمعنى العربي: مكتشف بواعث انظمة غير الاتصالات محمول<br>
R	Abbr.: R<br>\nMeaning: reinforcing/ red<br>\nالمعنى العربي: تعزيز/ احمر<br>
R&D	Abbr.: R&amp;D<br>\nMeaning: Research and Development<br>\nالمعنى العربي: البحث والتطوير<br>
R&S	Abbr.: R&amp;S<br>\nMeaning: reconaissance &amp;surveillance<br>\nالمعنى العربي: الاستطلاع والمراقبة<br>
RAA	Abbr.: RAA<br>\nMeaning: Rrear assembly area<br>\nالمعنى العربي: منطقة تجمع خلفية<br>
RAAM	Abbr.: RAAM<br>\nMeaning: remote antiarmor mine<br>\nالمعنى العربي: لغم مضاد للدبابات تحكم عن بعد<br>
RADAR	Abbr.: RADAR<br>\nMeaning: radio detection &amp; ranging<br>\nالمعنى العربي: اكتشاف موقع ومدى الراديو<br>
RAGS	Abbr.: RAGS<br>\nMeaning: regimental artillery group<br>\nالمعنى العربي: مجموعة مدفعية الفوج<br>
RAP	Abbr.: RAP<br>\nMeaning: rocket assisted projectile<br>\nالمعنى العربي: مقذوف دفع صاروخي<br>
RBD	Abbr.: RBD<br>\nMeaning: Remote Biocular Device<br>\nالمعنى العربي: <br>
RCU	Abbr.: RCU<br>\nMeaning: remote control unit<br>\nالمعنى العربي: وحدة تحكم عن بعد<br>
REDCON	Abbr.: REDCON<br>\nMeaning: readiness condition<br>\nالمعنى العربي: حالة الجاهزية<br>
REMAB	Abbr.: REMAB<br>\nMeaning: remote marshalling base<br>\nالمعنى العربي: قاعدة تنظيم وترتيب بعيدة<br>
REMBASS	Abbr.: REMBASS<br>\nMeaning: remot.monito.battlefield sensor sys.<br>\nالمعنى العربي: نظام حساس مراقبة ميدان المعركة عن بعد<br>
RFA	Abbr.: RFA<br>\nMeaning: restrictive fire area<br>\nالمعنى العربي: منطة مقيدة النيران<br>
RFI	Abbr.: RFI<br>\nMeaning: request for information<br>\nالمعنى العربي: طلب معلومات<br>
RFL	Abbr.: RFL<br>\nMeaning: restrictive fire line<br>\nالمعنى العربي: خط تقييد النيران<br>
RGB	Abbr.: RGB<br>\nMeaning: Reduction GearBox<br>\nالمعنى العربي: مخفف السرعة<br>
RIU	Abbr.: RIU<br>\nMeaning: Radio Interface Unit<br>\nالمعنى العربي: <br>
RKV	Abbr.: RKV<br>\nMeaning: rekeying variable<br>\nالمعنى العربي: اعادة ادخال متغيرات بالأزرار<br>
RMC	Abbr.: RMC<br>\nMeaning: Removable Memory Cartridge<br>\nالمعنى العربي: <br>
ROC	Abbr.: ROC<br>\nMeaning: rear operations center<br>\nالمعنى العربي:  مركز عمليات خلفي<br>
ROE	Abbr.: ROE<br>\nMeaning: rules of engagement<br>\nالمعنى العربي: قواعد الاشتباك<br>
ROM	Abbr.: ROM<br>\nMeaning: refuel on the move<br>\nالمعنى العربي: التزود بالوقود اثناء التحرك<br>
ROWPU	Abbr.: ROWPU<br>\nMeaning: reverse osmosis water purification Unit<br>\nالمعنى العربي: وحدة تنقية المياه بالتناضح العكسي<br>
ROZ	Abbr.: ROZ<br>\nMeaning: restricted operations zone<br>\nالمعنى العربي: منطقة عمليات مقيدة<br>
RP	Abbr.: RP<br>\nMeaning: release point<br>\nالمعنى العربي: نقطة تفرق<br>
RPV	Abbr.: RPV<br>\nMeaning: remotely piloted vehicle<br>\nالمعنى العربي: طائرة بدون طيار تحكم عن بعد<br>
RSL	Abbr.: RSL<br>\nMeaning: remote spring launch<br>\nالمعنى العربي: قذف نابضي تحكم عن بعد<br>
RSLF	Abbr.: RSLF<br>\nMeaning: Royal Saudi Land Forces<br>\nالمعنى العربي: القوات البرية الملكية السعودية<br>
RSOI	Abbr.: RSOI<br>\nMeaning: Reception, Staging, onward movement, and integration<br>\nالمعنى العربي: الإستقبال ، الإنتقال ، التحرك للأمام ، والدمج<br>
RST-V	Abbr.: RST-V<br>\nMeaning: Reconnaissance, Surveillance and Target Acquisition\nVehicle<br>\nالمعنى العربي: <br>
RSTA	Abbr.: RSTA<br>\nMeaning: recon, surveilla. &amp; target acquisition<br>\nالمعنى العربي: استطلاع ومراقبة ورصد اهداف<br>
RTO	Abbr.: RTO<br>\nMeaning: rail tranportation officer<br>\nالمعنى العربي: ضابط نقل بالسكة الحديد<br>
RYA	Abbr.: RYA<br>\nMeaning: Relay Assembly<br>\nالمعنى العربي: <br>
RYJ	Abbr.: RYJ<br>\nMeaning: Relay Junction Box<br>\nالمعنى العربي: <br>
Range	Abbr.: Range<br>\nMeaning: <br>\nالمعنى العربي: ميدان رماية<br>
S&S	Abbr.: S&amp;S<br>\nMeaning: supply &amp; service<br>\nالمعنى العربي: خدمة وتموين<br>
S1	Abbr.: S1<br>\nMeaning: <br>\nالمعنى العربي: ركن الإدارة (في كتيبة)<br>
S2	Abbr.: S2<br>\nMeaning: <br>\nالمعنى العربي: ركن الاستخبارات (في كتيبة)<br>
S3	Abbr.: S3<br>\nMeaning: <br>\nالمعنى العربي: ركن العمليات (في كتيبة)<br>
S4	Abbr.: S4<br>\nMeaning: <br>\nالمعنى العربي: ركن التموين (في كتيبة)<br>
S5	Abbr.: S5<br>\nMeaning: civil affairs officer<br>\nالمعنى العربي: ضابط شئون مدنية<br>
SA	Abbr.: SA<br>\nMeaning: Sight Assembly<br>\nالمعنى العربي: <br>
SAAB	Abbr.: SAAB<br>\nMeaning: <br>\nالمعنى العربي: شركة ساب السويدية (الشركة المصنعة للتويقز)<br>
SAAFR	Abbr.: SAAFR<br>\nMeaning: standard use army plane flight route<br>\nالمعنى العربي: استخدام عادي لخط طيران طائرات الجيش<br>
SABOT	Abbr.: SABOT<br>\nMeaning: <br>\nالمعنى العربي: ذخيرة خارقة<br>
