##name	DOD Joint Acronyms and Abbreviations
##sourceLang	English
##targetLang	English
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##author	Department of Defense (DOD), Joint Doctrine Division
##copyright	Source: U.S. Department of Defense, <a href="http://www.dtic.mil/doctrine/index.html">Joint Doctrine Division</a>. ( <a href="bword://About the DOD Joint Acronyms and Abbreviations">About</a> )
##description	The <b>DOD Joint Acronyms and Abbreviations</b> contains a listing of current abbreviations and acronyms in \ncommon use within the Department of Defense. This is by no means a complete list of DOD abbreviations and acronyms. Rather, <b>it serves as a guide to current DOD usage in abbreviations and acronyms</b>. \n<p>The Joint Acronyms and Abbreviations master data base is  managed by the Joint Doctrine Division, J-7, Joint Staff. All approved joint definitions are contained in Joint Publication 1-02, "DOD Dictionary of Military and Associated Terms." <b>  As amended through 17 October 2007</b>.</p> \n<p>The <b>Joint Acronyms and Abbreviations</b> holds more than 6000 entries. </p>
##browsingEnabled	
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_creationTime	2008/03/20, 09:33
##bgl_middleUpdated	2008/03/25, 09:22
##bgl_lastUpdated	2008/03/25, 09:22
.NL.	not less than <br>
JATACS	joint advanced tactical cryptological support  <br>
JATF	joint amphibious task force <br>
JAWS	Joint Munitions Effectiveness Manual (JMEM)/air-to surface weaponeering system  <br>
JBP	Joint Blood Program <br>
JBPO	joint blood program office <br>
JC2WC	joint command and control warfare center <br>
JCA	jamming control authority; Joint Capability Area <br>
JCASREP	joint casualty report <br>
JCAT	joint crisis action team <br>
JCC	joint command center; joint contracting center; joint course catalog <br>
JCCB	Joint Configuration Control Board <br>
JCCC	joint combat camera center <br>
JCCP	joint casualty collection point <br>
JCE	Joint Intelligence Virtual Architecture (JIVA) Collaborative Environment   <br>
JCEOI	joint communications-electronics operating instructions <br>
JCET	joint combined exchange training; joint combined exercise for training <br>
JCEWR	joint coordination of electronic warfare reprogramming <br>
JCEWS	joint force commander’s electronic warfare staff <br>
JCGRO	joint central graves registration office  <br>
JCIDO	Joint Combat Identification Office <br>
JCIOC	joint counterintelligence operations center <br>
JCISA	Joint Command Information Systems Activity  <br>
JCISB	Joint Counterintelligence Support Branch <br>
JCLL	joint center for lessons learned  <br>
JCMA	joint communications security monitor activity  <br>
JCMB	Joint Collection Management Board <br>
JCMC	joint crisis management capability <br>
JCMEB	joint civil-military engineering board <br>
JCMEC	joint captured materiel exploitation center  <br>
JCMO	joint communications security management office  <br>
JCMOTF	joint civil-military operations task force  <br>
JCMPO	Joint Cruise Missile Project Office  <br>
JCMT	joint collection management tools <br>
JCN	joint communications network <br>
JCS	Joint Chiefs of Staff <br>
JCSAN	Joint Chiefs of Staff Alerting Network <br>
JCSAR	joint combat search and rescue  <br>
JCSC	joint communications satellite center <br>
JCSE	joint communications support element <br>
JCSM	Joint Chiefs of Staff memorandum  <br>
JCSP	joint contracting support plan <br>
JCSS	joint communications support squadron <br>
JCTN	joint composite track network <br>
JDA	joint duty assignment <br>
JDAAP	Joint Doctrine Awareness Action Plan  <br>
JDAL	Joint Duty Assignment List <br>
JDAM	Joint Direct Attack Munition <br>
JDAMIS	Joint Duty Assignment Management Information System <br>
JDC	joint deployment community; Joint Doctrine Center <br>
JDD	joint doctrine distribution <br>
JDDC	joint doctrine development community <br>
JDDOC	joint deployment distribution operations center  <br>
JDEC	joint document exploitation center <br>
JDEIS	Joint Doctrine, Education, and Training Electronic Information System  <br>
JDIG	Joint Drug Intelligence Group <br>
JDISS	joint deployable intelligence support system  <br>
JDN	joint data network <br>
JDNO	joint data network operations officer  <br>
JDOG	joint detention operations group <br>
JDOMS	Joint Director of Military Support  <br>
JDPC	Joint Doctrine Planning Conference <br>
JDPO	joint deployment process owner <br>
JDSS	Joint Decision Support System <br>
JDSSC	Joint Data Systems Support Center  <br>
JDST	joint decision support tools <br>
JDTC	Joint Deployment Training Center <br>
JE	joint experimentation  <br>
JEAP	Joint Electronic Intelligence (ELINT) Analysis Program <br>
JECG	joint exercise control group <br>
JECPO	Joint Electronic Commerce Program Office  <br>
JEDD	Joint Education and Doctrine Division  <br>
JEEP	joint emergency evacuation plan <br>
JEL	Joint Electronic Library <br>
JEM	joint exercise manual <br>
JEMB	joint environmental management board <br>
JEMP	joint exercise management package <br>
JEPES	joint engineer planning and execution system <br>
JET	Joint Operation Planning and Execution System (JOPES) editing tool <br>
JEWC	Joint Electronic Warfare Center <br>
JEZ	joint engagement zone <br>
JFA	joint field activity <br>
JFACC	joint force air component commander  <br>
JFAST	Joint Flow and Analysis System for Transportation   <br>
JFC	joint force commander <br>
JFCC	joint functional component command <br>
JFCC-IMD	Joint Functional Component Command for Integrated Missile Defense  <br>
JFCC-ISR	Joint Functional Component Command for Intelligence, Surveillance, and Reconnaissance <br>
JFCH	joint force chaplain <br>
JFE	joint fires element <br>
JFHQ	joint force headquarters <br>
JFHQ – NCR	Joint Force Headquarters – National Capital Region   <br>
JFHQ – State	Joint Force Headquarters – State  <br>
JFIIT	Joint Fires Integration and Interoperability Team <br>
JFIP	Japanese facilities improvement project <br>
JFLCC	joint force land component commander  <br>
JFMC	joint fleet mail center <br>
JFMCC	joint force maritime component commander  <br>
JFMO	Joint Frequency Management Office <br>
JFO	joint field office <br>
JFP	joint force package (packaging) <br>
JFRB	Joint Foreign Release Board <br>
JFRG	II joint force requirements generator II <br>
JFRG	joint force requirements generator <br>
JFS	joint force surgeon <br>
JFSOC	joint force special operations component  <br>
JFSOCC	joint force special operations component commander <br>
JFTR	joint Federal travel regulations <br>
JFUB	Joint Facilities Utilization Board <br>
JGAT	joint guidance, apportionment, and targeting  <br>
JI	joint inspection  <br>
JIACG	joint interagency coordination group <br>
JIADS	joint integrated air defense system  <br>
JIATF	joint interagency task force (DOD)  <br>
JIATF-E	joint interagency task force - East <br>
JIATF-S	joint interagency task force - South <br>
JIATF-W	joint interagency task force - West <br>
JIB	joint information bureau <br>
JIC	joint information center <br>
JICC	joint information coordination center; joint interface control cell  <br>
JICO	joint interface control officer <br>
JICPAC	Joint Intelligence Center, Pacific <br>
JICTRANS	Joint Intelligence Center for Transportation  <br>
JIDC	joint intelligence and debriefing center; joint interrogation and debriefing center <br>
JIEO	joint interoperability engineering organization <br>
JIEP	joint intelligence estimate for planning  <br>
JIES	joint interoperability evaluation system <br>
JIG	joint interrogation group <br>
JILE	joint intelligence liaison element <br>
JIMB	joint information management board <br>
JIMP	joint implementation master plan <br>
JIMPP	joint industrial mobilization planning process  <br>
JIMS	joint information management system <br>
JINTACCS	Joint Interoperability of Tactical Command and Control Systems  <br>
JIO	joint interrogation operations <br>
JIOC	joint information operations center; joint intelligence operations center  <br>
JIOC	TRANS Joint Intelligence Operations Center - Transportation   <br>
JIOC-SOUTH	Joint Intelligence Operations Center, South  <br>
JIOCPAC	Joint Intelligence Operations Center, Pacific  <br>
JIOP	joint interface operational procedures <br>
JIOP-MTF	joint interface operating procedures-message text formats <br>
JIOWC	Joint Information Operations Warfare Command  <br>
JIPB	joint intelligence preparation of the battlespace <br>
JIPC	joint imagery production complex <br>
JIPCL	joint integrated prioritized collection list  <br>
JIPOE	joint intelligence preparation of the operational environment   <br>
JIPTL	joint integrated prioritized target list  <br>
JIS	joint information system <br>
JISE	joint intelligence support element <br>
JITC	joint interoperability test command <br>
JITF-CT	Joint Intelligence Task Force for Combating Terrorism   <br>
JIVA	Joint Intelligence Virtual Architecture <br>
JKDDC	Joint Knowledge Development and Distribution Capability <br>
JLCC	joint lighterage control center; joint logistics coordination center  <br>
JLLP	Joint Lessons Learned Program <br>
JLNCHREP	joint launch report <br>
JLOC	joint logistics operations center <br>
JLOTS	joint logistics over-the-shore <br>
JLRC	joint logistics readiness center <br>
JLSB	joint line of communications security board <br>
JLSE	joint legal support element <br>
JM&S	joint modeling and simulation <br>
JMAARS	joint model after-action review system  <br>
JMAG	Joint METOC Advisory Group <br>
JMAO	joint mortuary affairs office; joint mortuary affairs officer  <br>
JMAR	joint medical asset repository <br>
JMAS	joint manpower automation system <br>
JMAT	joint mobility assistance team <br>
JMC	joint military command; joint movement center <br>
JMCG	Joint Mobility Control Group; joint movement control group  <br>
JMCIS	joint maritime command information system  <br>
JMCOMS	joint maritime communications system <br>
JMD	joint manning document <br>
JMEM	Joint Munitions Effectiveness Manual <br>
JMEM-SO	Joint Munitions Effectiveness Manual-Special Operations  <br>
JMET	joint mission-essential task <br>
JMETL	joint mission-essential task list <br>
JMFU	joint meteorological and oceanographic (METOC) forecast unit   <br>
JMIC	Joint Military Intelligence College <br>
JMICS	Joint Worldwide Intelligence Communications System (JWICS) mobile integrated communications system <br>
JMIE	joint maritime information element <br>
JMIP	joint military intelligence program <br>
JMITC	Joint Military Intelligence Training Center  <br>
JMLO	joint medical logistics officer <br>
JMMC	Joint Material Management Center <br>
JMMT	joint military mail terminal <br>
JMNA	joint military net assessment <br>
JMO	joint force meteorological and oceanographic officer; joint maritime operations <br>
JMO(AIR)	joint maritime operations (air) <br>
JMOC	joint medical operations center <br>
JMP	joint manpower program <br>
JMPA	joint military postal activity; joint military satellite communications (MILSATCOM) panel administrator <br>
JMPAB	Joint Materiel Priorities and Allocation Board <br>
JMRC	joint mobile relay center <br>
JMRO	Joint Medical Regulating Office <br>
JMRR	Joint Monthly Readiness Review <br>
JMSEP	joint modeling and simulation executive panel <br>
JMSWG	Joint Multi-Tactical Digital Information Link (Multi-TADIL) Standards Working Group <br>
JMT	joint military training <br>
JMTCA	joint munitions transportation coordinating activity  <br>
JMTCSS	Joint Maritime Tactical Communications Switching System <br>
JMUA	Joint Meritorious Unit Award <br>
JMV	joint METOC viewer <br>
JMWG	joint medical working group <br>
JMeDSAF	joint medical semi-automated forces <br>
JNACC	joint nuclear accident coordinating center  <br>
JNCC	joint network operations (NETOPS) control center <br>
JNOCC	Joint Operation Planning and Execution System (JOPES) Network Operation Control Center <br>
JNPE	joint nuclear planning element <br>
JOA	joint operations area <br>
JOAF	joint operations area forecast <br>
JOC	joint operations center; joint oversight committee <br>
JOCC	joint operations command center <br>
JOG	joint operations graphic <br>
JOGS	joint operation graphics system <br>
JOPES	Joint Operation Planning and Execution System <br>
JOPESIR	Joint Operation Planning and Execution System Incident Reporting System <br>
JOPESREP	Joint Operation Planning and Execution System Reporting System  <br>
JOPP	joint operation planning process <br>
JOR	joint operational requirement <br>
JORD	joint operational requirements document <br>
JOSG	joint operational steering group <br>
JOT&E	joint operational test and evaluation  <br>
JOTS	Joint Operational Tactical System <br>
JP	joint publication  <br>
JPAC	joint planning augmentation cell; Joint POW/MIA Accounting Command  <br>
JPAG	Joint Planning Advisory Group <br>
JPASE	Joint Public Affairs Support Element  <br>
JPATS	joint primary aircraft training system  <br>
JPAV	joint personnel asset visibility <br>
JPC	joint planning cell; joint postal cell <br>
JPD	joint planning document <br>
JPEC	joint planning and execution community  <br>
JPERSTAT	joint personnel status and casualty report <br>
JPG	joint planning group <br>
JPME	joint professional military education <br>
JPMRC	joint patient movement requirements center  <br>
JPMT	joint patient movement team <br>
JPN	joint planning network <br>
JPO	Joint Petroleum Office; Joint Program Office <br>
JPO-STC	Joint Program Office for Special Technology Countermeasures   <br>
JPOC	joint planning orientation course <br>
JPOI	joint program of instruction <br>
JPOM	joint preparation and onward movement  <br>
JPOTF	joint psychological operations task force  <br>
JPOTG	joint psychological operations task group  <br>
JPRA	Joint Personnel Recovery Agency <br>
JPRC	joint personnel receiving center; joint personnel reception center; joint personnel recovery center <br>
JPRSP	joint personnel recovery support product  <br>
JPS	joint processing system <br>
JPTTA	joint personnel training and tracking activity <br>
JQR	joint qualification requirements <br>
JQRR	joint quarterly readiness review <br>
JRADS	Joint Resource Assessment Data System  <br>
JRB	Joint Requirements Oversight Council (JROC) Review Board   <br>
JRC	joint reception center; joint reconnaissance center <br>
JRCC	joint reception coordination center <br>
JRERP	Joint Radiological Emergency Response Plan  <br>
JRFL	joint restricted frequency list <br>
JRG	joint review group <br>
JRIC	joint reserve intelligence center <br>
JRMB	Joint Requirements and Management Board  <br>
JROC	Joint Requirements Oversight Council <br>
JRS	joint reporting structure <br>
JRSC	jam-resistant secure communications; joint rescue sub-center <br>
JRSOI	joint reception, staging, onward movement, and integration   <br>
JRTC	joint readiness training center <br>
JRX	joint readiness exercise <br>
JS	the joint staff <br>
JSA	joint security area <br>
JSAC	joint strike analysis cell; joint strike analysis center  <br>
JSAM	joint security assistance memorandum; Joint Service Achievement Medal; joint standoff surface attack missile       <br>
JSAN	Joint Staff automation for the nineties <br>
JSAP	Joint Staff action process <br>
JSAS	joint strike analysis system <br>
JSC	joint security coordinator; Joint Spectrum Center <br>
JSCAT	joint staff crisis action team  <br>
JSCC	joint security coordination center; joint Services coordination committee  <br>
JSCM	joint Service commendation medal <br>
JSCP	Joint Strategic Capabilities Plan <br>
JSDS	Joint Staff doctrine sponsor <br>
JSEC	joint strategic exploitation center <br>
JSIDS	joint Services imagery digitizing system  <br>
JSIR	joint spectrum interference resolution <br>
JSISC	Joint Staff Information Service Center  <br>
JSIT	Joint Operation Planning and Execution System (JOPES) information trace <br>
JSIVA	Joint Staff Integrated Vulnerability Assessment  <br>
JSM	Joint Staff Manual <br>
JSME	joint spectrum management element <br>
JSMS	joint spectrum management system <br>
JSO	joint security operations; joint specialty officer or joint specialist <br>
JSOA	joint special operations area <br>
JSOAC	joint special operations air component; joint special operations aviation component <br>
JSOACC	joint special operations air component commander <br>
JSOC	joint special operations command <br>
JSOFI	Joint Special Operations Forces Institute  <br>
JSOTF	joint special operations task force  <br>
JSOU	Joint Special Operations University <br>
JSOW	joint stand-off weapon <br>
JSPA	joint satellite communications (SATCOM) panel administrator <br>
JSPD	joint strategic planning document <br>
JSPDSA	joint strategic planning document supporting analyses <br>
JSPOC	Joint Space Operations Center <br>
JSPS	Joint Strategic Planning System <br>
JSR	joint strategy review <br>
JSRC	joint subregional command (NATO) <br>
JSS	joint surveillance system <br>
JSSA	joint Services survival, evasion, resistance, and escape (SERE) agency <br>
JSSIS	joint staff support information system  <br>
JSST	joint space support team <br>
JSTAR	joint system threat assessment report  <br>
JSTARS	Joint Surveillance Target Attack Radar System <br>
JSTE	joint system training exercise <br>
JT&E	joint test and evaluation <br>
JTA	joint table of allowances; joint technical architecture   <br>
JTAC	joint technical augmentation cell; joint terminal attack controller; Joint Terrorism Analysis Center <br>
JTADS	Joint Tactical Air Defense System (Army); Joint Tactical Display System <br>
JTAGS	joint tactical ground station (Army); joint tactical ground station (Army and Navy); joint tactical ground system    <br>
JTAO	joint tactical air operations <br>
JTAR	joint tactical air strike request  <br>
JTASC	joint training analysis and simulation center <br>
JTASG	Joint Targeting Automation Steering Group  <br>
JTAV	joint total asset visibility <br>
JTAV-IT	joint total asset visibility-in theater  <br>
JTB	Joint Transportation Board <br>
JTC	joint technical committee; Joint Training Confederation <br>
JTCB	joint targeting coordination board <br>
JTCC	joint transportation coordination cell; joint transportation corporate information management center <br>
JTCG/ME	Joint Technical Coordinating Group for Munitions Effectiveness   <br>
JTD	joint table of distribution; joint theater distribution   <br>
JTDC	joint track data coordinator <br>
JTF	HQ joint task force headquarters  <br>
JTF	joint task force <br>
JTF-6	joint task force-6 <br>
JTF-AK	Joint Task Force - Alaska  <br>
JTF-B	joint task force-Bravo <br>
JTF-CM	joint task force - consequence management <br>
JTF-CS	Joint Task Force-Civil Support <br>
JTF-GNO	Joint Task Force-Global Network Operations  <br>
JTF-GTMO	Joint Task Force-Guantanamo <br>
JTF-HD	Joint Task Force-Homeland Defense <br>
JTF-MAO	joint task force - mortuary affairs office   <br>
JTF-N	Joint Task Force-North <br>
JTF-State	Joint Task Force-State <br>
JTFCEM	joint task force contingency engineering management <br>
JTFP	Joint Tactical Fusion Program <br>
JTFS	joint task force surgeon <br>
JTIC	joint transportation intelligence center <br>
JTIDS	Joint Tactical Information Distribution System  <br>
JTL	joint target list <br>
JTLM	Joint Theater Logistics Management <br>
JTLS	joint theater-level simulation <br>
JTM	joint training manual <br>
JTMD	joint table of mobilization and distribution; Joint Terminology Master Database <br>
JTMP	joint training master plan <br>
JTMS	joint theater movement staff; joint training master schedule  <br>
JTP	joint test publication; joint training plan <br>
JTR	joint travel regulations <br>
JTRB	joint telecommunication resources board <br>
JTS	Joint Targeting School <br>
JTSG	joint targeting steering group <br>
JTSSCCB	Joint Tactical Switched Systems Configuration Control Board   <br>
JTSST	joint training system support team  <br>
JTT	joint targeting toolbox; joint training team <br>
JTTF	joint terrorism task force <br>
JUH-MTF	Joint User Handbook-Message Text Formats  <br>
JUIC	joint unit identification code <br>
JULL	Joint Universal Lessons Learned (report)  <br>
JULLS	Joint Universal Lessons Learned System  <br>
JUO	joint urban operation <br>
JUSMAG	Joint United States Military Advisory Group <br>
JUWTF	joint unconventional warfare task force  <br>
JV	2020 Joint Vision 2020 <br>
JV	Joint Vision  <br>
JVB	Joint Visitors Bureau <br>
JVIDS	Joint Visual Integrated Display System  <br>
JVSEAS	Joint Virtual Security Environment Assessment System <br>
JWAC	Joint Warfare Analysis Center <br>
JWARS	Joint Warfare Analysis and Requirements System <br>
JWC	Joint Warfare Center <br>
JWCA	joint warfighting capabilities assessment <br>
JWFC	Joint Warfighting Center <br>
JWG	joint working group <br>
JWICS	Joint Worldwide Intelligence Communications System  <br>
JWID	joint warrior interoperability demonstration <br>
K-Kill	catastrophic kill  <br>
KAL	key assets list <br>
KAPP	Key Assets Protection Program <br>
KC-135	Stratotanker   <br>
KDE	key doctrine element <br>
KEK	key encryption key <br>
KG	key generator  <br>
KIA	killed in action <br>
KMC	knowledge management center <br>
KNP	Korean National Police <br>
KP	key pulse  <br>
KQ	tactical location identifiers <br>
KVG	key variable generator <br>
KWOC	keyword-out-of-context   <br>
Ka	Kurtz-above band  <br>
Ku	Kurtz-under band  <br>
L	length   <br>
L-hour	specific hour on C-day at which a deployment operation commences or is to commence      <br>
L/T	long ton  <br>
LA	lead agent; legal adviser; line amplifier; loop key generator (LKG) adapter <br>
LAADS	low altitude air defense system  <br>
LAAM	light anti-aircraft missile <br>
LABS	laser airborne bathymetry system <br>
LACH	lightweight amphibious container handler <br>
LACV	lighter, air cushioned vehicle <br>
LAD	latest arrival date <br>
LAMPS	Light Airborne Multipurpose System (helicopter)  <br>
LAN	local area network <br>
LANDCENT	Allied Land Forces Central Europe (NATO) <br>
LANDSAT	land satellite  <br>
LANDSOUTH	Allied Land Forces Southern Europe (NATO) <br>
LANTIRN	low-altitude navigation and targeting infrared for night   <br>
LAO	limited attack option <br>
LAPES	low-altitude parachute extraction system <br>
LARC	lighter, amphibious resupply, cargo <br>
LARC-V	lighter, amphibious resupply, cargo, 5 ton <br>
LARS	lightweight airborne recovery system <br>
LASH	lighter aboard ship <br>
LASINT	laser intelligence  <br>
LAT	latitude   <br>
LAV	light armored vehicle <br>
LBR	Laser Beam Rider <br>
LC	lake current; legal counsel <br>
LCAC	landing craft, air cushion <br>
LCAP	low combat air patrol <br>
LCB	line of constant bearing <br>
LCC	amphibious command ship; land component commander; launch control center; lighterage control center; link communications circuit; logistics component command  <br>
LCCS	landing craft control ship <br>
LCE	logistics capability estimator; logistics combat element <br>
LCES	line conditioning equipment scanner <br>
LCM	landing craft, mechanized; letter-class mail; life-cycle management   <br>
LCO	lighterage control officer <br>
LCP	lighterage control point <br>
LCPL	landing craft personnel (large) <br>
LCU	landing craft, utility; launch correlation unit <br>
LCVP	landing craft, vehicle, personnel <br>
LD	line of departure <br>
LDA	limited depository account <br>
LDF	lightweight digital facsimile <br>
LDI	line driver interface <br>
LDO	laser designator operator <br>
LDR	leader; low data rate <br>
LE	law enforcement; low-order explosives <br>
LEA	law enforcement agency <br>
LEAP	Light ExoAtmospheric Projectile <br>
LEASAT	leased satellite  <br>
LEAU	Law Enforcement Assistance Unit (FAA)  <br>
LECIC	Law Enforcement and Counterintelligence Center (DOD) <br>
LED	law enforcement desk; light emitting diode <br>
LEDET	law enforcement detachment <br>
LEGAT	legal attach?  <br>
LEO	law enforcement operations; low Earth orbit <br>
LEP	laser eye protection; linear error probable <br>
LERSM	lower echelon reporting and surveillance module <br>
LERTCON	alert condition  <br>
LES	law enforcement sensitive; leave and earnings statement; Lincoln Laboratories Experimental Satellite <br>
LESO	Law Enforcement Support Office <br>
LET	light equipment transport <br>
LF	landing force; low frequency <br>
LFA	lead federal agency <br>
LFORM	landing force operational reserve material  <br>
LFSP	landing force support party <br>
LG	deputy chief of staff for logistics <br>
LGB	laser-guided bomb  <br>
LGM	laser-guided missile; loop group multiplexer  <br>
LGM-30	Minuteman   <br>
LGW	laser-guided weapon  <br>
LHA	amphibious assault ship (general purpose); amphibious assault ship (multi-purpose) <br>
LHD	amphibious assault ship (dock) <br>
LHT	line-haul tractor  <br>
LIDAR	light detection and ranging <br>
LIF	light interference filter <br>
LIMDIS	limited distribution  <br>
LIMFAC	limiting factor  <br>
LIPS	Logistics Information Processing System <br>
LIS	logistics information system <br>
LIWA	land information warfare activity <br>
LKA	attack cargo ship <br>
LKG	loop key generator <br>
LKP	last known position <br>
LL	lessons learned  <br>
LLLGB	low-level laser-guided bomb <br>
LLLTV	low-light level television <br>
LLSO	low-level source operation <br>
LLTR	low-level transit route <br>
LM	loop modem  <br>
LMARS	Logistics Metrics Analysis Reporting System  <br>
LMAV	laser MAVERICK  <br>
LMF	language media format <br>
LMSR	large, medium speed roll-on/roll-off <br>
LMW	lead mobility wing <br>
LN	lead nation  <br>
LNA	low voice amplifier <br>
LNO	liaison officer  <br>
LO	low observable  <br>
LO/LO	lift-on/lift-off   <br>
LO/RO	lift-on/roll-off   <br>
LOA	Lead Operational Authority; letter of assist; letter of authorization; letter of offer and acceptance; lodgment operational area; logistics over-the-shore (LOTS)<br>
LOAC	law of armed conflict <br>
LOAL	lock-on after launch <br>
LOBL	lock-on before launch <br>
LOC	ACC location accuracy <br>
LOC	line of communications; logistics operations center <br>
LOCAP	low combat air patrol <br>
LOCE	Linked Operational Intelligence Centers Europe; Linked Operations-Intelligence Centers Europe <br>
LOE	letter of evaluation <br>
LOG	logistics   <br>
LOGAIR	logistics aircraft  <br>
LOGAIS	logistics automated information system <br>
LOGCAP	logistics civil augmentation program <br>
LOGCAT	logistics capability assessment tool <br>
LOGDET	logistics detail  <br>
LOGEX	logistics exercise  <br>
LOGFAC	Logistics Feasibility Assessment Capability <br>
LOGFOR	logistics force packaging system <br>
LOGMARS	logistics applications of automated marking and reading symbols  <br>
LOGMOD	logistics module  <br>
LOGPLAN	logistics planning system <br>
LOGSAFE	logistic sustainment analysis and feasibility estimator <br>
LOI	letter of instruction; loss of input <br>
LOMEZ	low-altitude missile engagement zone <br>
LONG	longitude   <br>
LOO	line of operations <br>
LOP	line of position <br>
LORAN	long-range aid to navigation <br>
LOROP	long range oblique photography <br>
LOS	line of sight <br>
LOTS	logistics over-the-shore  <br>
LOX	liquid oxygen  <br>
LP	listening post  <br>
LPD	amphibious transport dock; low probability of detection   <br>
LPH	amphibious assault ship, landing platform helicopter <br>
LPI	low probability of intercept <br>
LPSB	Logistics Procurement Support Board <br>
LPU	line printer unit <br>
LPV	laser-protective visor  <br>
LRC	logistics readiness center <br>
LRD	laser range finder-detector <br>
LRF	laser range finder <br>
LRF/D	laser range finder/detector <br>
LRG	long-range aircraft  <br>
LRM	low rate multiplexer <br>
LRP	load and roll pallet <br>
LRRP	long range reconnaissance patrol <br>
LRS	launch and recovery site <br>
LRST	long-range surveillance team <br>
LRSU	long-range surveillance unit <br>
LSA	logistic support analysis <br>
LSB	landing support battalion; lower sideband  <br>
LSCDM	low speed cable driver modem  <br>
LSD	landing ship dock; least significant digit <br>
LSE	landing signal enlisted; logistic support element <br>
LSO	landing safety officer; landing signal officer <br>
LSPR	low speed pulse restorer <br>
LSS	local sensor subsystem <br>
LST	landing ship, tank; laser spot tracker; tank landing ship <br>
LSV	logistics support vessel <br>
LT	large tug; local terminal; long ton <br>
LTD	laser target designator <br>
LTD/R	laser target designator/ranger <br>
LTF	logistics task force <br>
LTG	local timing generator <br>
LTON	long ton  <br>
LTS	low-altitude navigation and targeting infrared for night (LANTIRN) targeting system <br>
LTT	loss to theater <br>
LTU	line termination unit <br>
LUA	launch under attack <br>
LUT	local user terminal <br>
LVS	Logistics Vehicle System (USMC) <br>
LW	leeway   <br>
LWR	Lutheran World Relief <br>
LZ	landing zone  <br>
LZCO	landing zone control officer <br>
LfV	Landesamt f?r Verfassungsschutz (regional authority for constitutional protection)  <br>
M&S	modeling and simulation <br>
M-DARC	military direct access radar channel  <br>
M-Kill	mobility kill  <br>
M-day	mobilization day; unnamed day on which mobilization of forces begins <br>
M/ATMP	Missiles/Air Target Materials Program <br>
M/CM/S	mobility, countermobility, and/or survivability <br>
M/T	measurement ton  <br>
M88A1	recovery vehicle  <br>
MA	master; medical attendant; mortuary affairs  <br>
MAAG	military assistance advisory group <br>
MAAP	master air attack plan <br>
MAC	Mortuary Affairs Center <br>
MACA	military assistance to civil authorities  <br>
MACB	multinational acquisition and contracting board  <br>
MACCS	Marine air command and control system <br>
MACDIS	military assistance for civil disturbances  <br>
MACG	Marine air control group <br>
MACOM	major command (Army) <br>
MACP	mortuary affairs collection point <br>
MACSAT	multiple access commercial satellite <br>
MAD	Milit?rischer Abschirmdienst (military protection service); military air distress  <br>
MADCP	mortuary affairs decontamination collection point  <br>
MAEB	mean area of effectiveness for blast <br>
MAEF	mean area of effectiveness for fragments <br>
MAF	mobility air forces <br>
MAFC	Marine air-ground task force (MAGTF) all-source fusion center  <br>
MAG	Marine aircraft group <br>
MAGTF	ACE Marine air-ground task force aviation combat element  <br>
MAGTF	Marine air-ground task force <br>
MAJCOM	major command (USAF) <br>
MANFOR	manpower force packaging system <br>
MANPADS	man-portable air defense system <br>
MANPER	manpower and personnel module <br>
MAOC-N	Maritime Analysis and Operations Center-Narcotics  <br>
MAP	Military Assistance Program; missed approach point; missed approach procedure <br>
MAR	METOC assistance request <br>
MARAD	Maritime Administration  <br>
MARCORMATCOM	Marine Corps Materiel Command <br>
MARDIV	Marine division  <br>
MARFOR	Marine Corps forces <br>
MARFOREUR	Marine Corps Forces, Europe <br>
MARFORLANT	Marine Corps Forces, Atlantic <br>
MARFORNORTH	Marine Corps Forces, North <br>
MARFORPAC	Marine Corps Forces, Pacific <br>
MARFORSOUTH	Marine Corps Forces, South <br>
MARINCEN	Maritime Intelligence Center <br>
MARLO	Marine liaison officer <br>
MAROP	marine operators  <br>
MARPOL	International Convention for the Prevention of Pollution from Ships <br>
MARS	Military Affiliate Radio System <br>
MARSA	military assumes responsibility for separation of aircraft   <br>
MARSOC	Marine Corps special operations command  <br>
MARSOF	Marine Corps special operations forces  <br>
MART	mobile Automatic Digital Network (AUTODIN) remote terminal   <br>
MASCAL	mass casualty  <br>
MASF	mobile aeromedical staging facility <br>
MASH	mobile Army surgical hospital <br>
MASINT	measurement and signature intelligence <br>
MASLO	measurement and signature intelligence (MASINT) liaison officer   <br>
MAST	military assistance to safety and traffic; mobile ashore support terminal <br>
MAT	medical analysis tool <br>
MATCALS	Marine air traffic control and landing system   <br>
MAW	Marine aircraft wing <br>
MAX	maximum   <br>
MAXORD	maximum ordinate  <br>
MB	medium boat; megabyte <br>
MBA	main battle area <br>
MBBLs	thousands of barrels <br>
MBCDM	medical biological chemical defense materiel  <br>
MBI	major budget issue <br>
MC	Military Committee (NATO); military community; mission capable   <br>
MC-130	Combat Talon (I and II)  <br>
MC/FI	mass casualty/fatality incident <br>
MCA	mail control activity; maximum calling area; military civic action; mission concept approval; movement control agency     <br>
MCAP	maximum calling area precedence <br>
MCAS	Marine Corps air station <br>
