##name	International Relations and Security Acronyms
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2003/07/01, 19:57
##author	Hans Johnsson
##email	Oblomov@home.se
##description	Acronyms on International Relations and Security <BR>Sources amongst others: <BR>NATO Handbook: Appendix 7  - Abbreviations in Common Use
##browsingEnabled	
##bgl_creationTime	2001/05/14, 15:49
247B1810.bmp	File: 247B1810.bmp
ITT	International Telephone and Telegraph
IUKADGE	Improved UK Air Defence Ground Environment
IUSS	Integrated Undersea Surveillance System
IUWG	Inshore Undersea Warfare Group
IV	Initial Vector
IV&V	Independent Verification and Validation
IW	Intermediate Naval Weapons Station
IWA	Internal Work Agreement
IWC	Integrated Weapons Complex
IWHS	Improved Weapon Handling System
IWPP	Industrial waste pretreatment process
IWS	Individual Work Station
IWSB	Integrated Weapon System Data Base
IWSDR	Integrated Weapon System Data Base
IWSR	Integrated Weapons System Review
J&A	Justification Approval
J/S	Jamming to Signal Ratio
JAG	Judge Advocate General
JAMESTOWN	Korean War defensive line to be established by Operation <A href='bword://COMMANDO'>COMMANDO</A>
JAMRASM	Joint Advanced Medium Range Anti-ship Missile
JAN	Joint Army and Navy
JANAF	Joint Army-Navy-Air Force
JANNAP	Joint Army-Navy-NASA &amp; Air Force Publication
Janus	A high-fidelity, force-on-force simulation
JAR	Joint Airworthiness Requirements
JASMMM	Joint Aviation Supply and Maintenance Material Management
JAST	Joint Advanced Strike Technology
JATO	Jet Assisted Take-Off
Javelin	A new hand-held anti-tank missile system
JAWS	Joint Air-Launched Weapons Task Group
JBD	Jet Blast Deflector
JCL	Job Control Language
JCMPO	Joint Cruise Missile Program Office
JCN	Job Control Number
JCP	Joint Committee on Printing
JCR	The Joint Committee for Returns (Kosovo)<BR>
JCS	Joint Chiefs of Staff
JCSE	Joint Communications Support Element
JDA	Joint Deployment Agency
JDAM	Joint Direct Attack Munition
JDC	Joint Deployment Community
JDMAG	Joint Depot Maintenance Analysis Group
JDP	Joint Development Plan
JDS	Joint Deployment System
JEFF	An interesting effort at institutionalising the follow-up to evaluations was the <B>Joint Evaluation Follow-up Monitoring and Facilitation Network</B> (JEFF). This was established after the Rwanda joint evaluation with the intention of ensuring that the report’s recommendations were taken seriously and acted upon. Another example is the quarterly monitoring by the Operation Lifeline Sudan consortium.<BR><I>(Adapted from OECD 1999, 27)</I><BR>
JEOC	Joint Election Operation Cell (UNMIK, Kosovo)<BR>
JEST	Joint Elections Security Team (UNMIK, Kosovo)<BR>
JET	Gulf War code name for an XVIII Airborne Corps phase line
JETS	Joint Emitter Targeting System
JFACC	Joint Force Air Component Commander
JFACSTU	Joint Forward Air Controller Standards & Trials Unit (RAF)
JFDP	Joint Force Development Process
JFM	Joint Force Memorandum
JHU/APL	Johns Hopkins University/Applied Physics Laboratory
JIAS	Joint Interim Administrative Structure (Kosovo)
JIC	Joint Intelligence Center
JICC	Joint Information Coordination Committee
JIEP	Joint Intelligence Estimate for Planning
JIFDATS	Joint Services In-Flight Data Transmission System
JIL	Joint Interest List
JIMPACS	Joint Improved Multi-Mission Payload Aerial Surveillance Combat Survivable
JINTACCS	Joint Interoperability of Tactical Command and Control Syste
JIT	Just-in-Time
JLC	Joint Logistics Commander
JLRB	Joint Logistics Review Board
JLRSS	Joint Long Range Strategic Study
JMET	Joint Maintainability Evaluation Team
JMSNS	Justification of Major System New Starts (Formerly MENS, replaced by <I>MNS)</I>
JMV	Joint METOC Viewer
JOA	Joint Operating Agreement
JOAP	Joint oil Analysis Program
JOC	Joint Operations Center
JOCG	Joint Ordnance Commanders Group
JOG	Joint Operational Geographic
JON	Job Order Number
JOOD	Junior Officer of the Deck
JOP	Joint Operating Procedure
JOPES	Joint Operational Planning and Execution System
JOR	Joint Operational Requirements
JOSS	World War II code name for the beaches in the Licata area
JOTS	Joint Operational Tactical System
JOVIAL	Jules Own Version of International Algebraic Language
JP	S</B>- Standard Military Jet Fuel
JPA	Job Performance Aid(s)
JPASC	Joint Pacific Area Scheduling Office
JPATS	Joint Primary Aircraft Training System
JPCG	Joint Policy Coordinating Group
JPG	Job Performance Guide
JPL	Jet Propulsion Laboratory
JRDOD	Joint Research and Development Objectives Document
JRMB	Joint Requirements and Management Board
JRME	Joint Requirements and Management Board
JRMET	Joint Reliability and Maintainability Evaluation Team
JROC	Joint Requirements Oversight Council
JRSC	Jam-Resistant Secure Communications
JRTC	Joint Readiness Training Center
JSB	Joint Service Board (MAS)
JSBP	Joint Service Business Plan
JSC	Johnson Space Center (NASA)
JSCP	Joint Strategic Capabilities Plan
JSD	Joint Service Depot
JSF	Joint Strike Fighter
JSL	Joint Stock List
JSN	Job Sequence Number
JSOC	Joint Special Operations Center
JSOP	Joint System Objective Plan
JSOR	Joint Service Operational Requirement
JSOW	Joint Standoff Weapon
JSPD	Joint Strategic Planning Document
JSPO	Joint Systems Project Office; Joint Service Program Office
JSS	Joint Surveillance System
JSTARS	Joint Surveillance/Target Attack Radar System
JSTM	Joint Service Technical Manual
JT&E	Joint Test and Evaluation
JTB	Joint Transportation Board
JTC3A	Joint Tactical C3 Agency
JTCG	DMI</B>- Joint Technical Coordinating Group on Depot Maintenance Interservicing
JTCG/MD	Joint Technical Coordination Group for Munitions Development
JTDE	Joint Technology Demonstrator Engine
JTF	Joint Task Force
JTFP	Joint Tactical Fusion Program
JTIDS	Joint Tactical Information Distribution System
JTR	Joint Tactical Rotorcraft
JTTP	Joint Tactics, Techniques, and Procedures
JTUAV-M	Joint Tactical Unmanned Aerial Vehicle-Maneuver
JUMPS	Joint Uniform Military Pay System
JUNO	World War II code name for the Normandy assault beach assigned to the Canadian 3rd Division
JUSMAG	Joint U.S. Military Advisory Group
JUST CAUSE	United States Southern Command invasion of Panama, 20 December 1989-January 1990
JUSTIS	Joint Uniformed Services Technical Information System
JWG	Joint Working Group (NATO-Ukraine Joint Working Group on Defence Reform)
Ka	Kamov (Soviet aircraft designation)
Kadett	Swedish military rank, <BR>rank for officers in Military Academies (trained to become Officers). They are not yet commissioned as Officers. <BR> <BR>UK: <BR>Cadet <BR> <BR> <BR>USA: <BR>Cadet <BR> <BR>For a full list of Swedish ranks click here: <A href='bword://smrs'>Swedish military ranks</A> <BR>
KANSAS-WYOMING	Korean War defensive lines in the vicinity of the 38th Parallel
Kapten	Swedish military rank <BR> <BR> <BR>UK: <BR>Captain <BR> <BR> <BR>USA: <BR>Captain <BR> <BR>For a full list of Swedish ranks click here: <A href='bword://smrs'>Swedish military ranks</A> <BR>
KAPUT	World War II (April 1945) Ninth Army assignment of defeating an incursion into the zone of the XIII Corps and of clearing a sector along the Elbe River
KASS	Keyport Automated Shipping System (Keyport, WA.)
KB	Keyboard
KBD	Keyboard
KBU	Cluster Bomb, Unit, Simulated
KCB	Kosovo Consolidated Budget
KCN	Kit Control Number
KDG	Kosovo Development Group
KEK	Key Encrypting Key
KEP	Kinetic Energy Projectile
KEW	Kinetic Energy Weapons
KEYHOLE	11
KEYSTONE	Plan for withdrawal of US forces from Vietnam beginning in 1969. Phases of the withdrawal were further identified with a series of names of birds: KEYSTONE EAGLE; KEYSTONE CARDINAL; KEYSTONE BLUEJAY; KEYSTONE ROBIN.
KFL	Key Facilities List
KFOR	Kosovo Force
Kg	Kilogram
KGB	Committee of (for) State Security (Soviet)
KH-11|kh11	Keyhole-11
KH-12|kh12	Advanced KH-11<BR> <BR>
KHz	Kilohertz
KIA	Killed In Action<BR><A href='http://www.periscope.ucg.com/terms/t0000167.html'> </A><BR>
KIAS	Knots Indicated Airspeed
KICO	Kosovo Investment Conferences
KILLER	Korean War (1951) IX Corps offensive to the Som River
KIN	Kit Identification Number
KING TWO	World War II operation to capture Leyte and the southern Philippines (1944)
KISS	Keep it Simple Stupid
KITE	Kinetic Kill Vehicle Integrated Technology Experiment
KJI	Kosovo Judicial Institute <BR> <BR>The KJI was set up by <A href='bword://OSCE'>OSCE</A> to strengthen the independence of the judiciary and the rule of law in Kosovo. It provides legal education for judges and prosecutors in international human rights law and other subjects crucial to the development of a professional judiciary in Kosovo. These include international standards of human rights, judicial practice, pre-trial detention proceedings, property and standards for the prosecution of war crimes. Local judges and prosecutors work closely with the KJI to assist in programme development and training future judges. <BR>
KKV	Kinetic Kill Vehicle
KLA	Kosovo Liberation Army
KLC	Since the Kosovo Law Center (KLC) was launched in June 2000 by the <A href='bword://OSCE'>OSCE</A> , it has taken a leading role in reforming the Pristina University Law Faculty. It also facilitates scholarships for legal talent to study abroad as well as organizes and hosts seminars and workshops for Kosovo's legal community. <BR><BR>Homepage: <A href='http://www.kosovolawcentre.org/'>http://www.kosovolawcentre.org/</A> <BR><BR>
KMN	Key Milestone Network
KMO	KOLLEGIYA MINISTERSTVA OBORONY
KN	Kit Number
KNIFE	Gulf War code name for an XVIII Airborne Corps phase line
KO	Contracting Officer (also CO)
KOH	Potassium Hydroxide
Kon. Mij	Kon.Mij Royal Company
KONSTANTIN	World War II German reinforcement of the Balkans and Greece
KOPENHAGEN	World War II German plan for the seizure of the Mount Cenis Pass as part of Operation Plan <A href='bword://ACHSE'>ACHSE</A>
Korpral	Swedish military rank (enlisted personnel), <BR> <BR> <BR>UK: <BR>Corporal <BR> <BR> <BR>USA: <BR>Corporal <BR> <BR>For a full list of Swedish ranks click here: <A href='bword://smrs'>Swedish military ranks</A> <BR>
KP	Keypunch
KPC	Kosovo Protection Corps
KPS	Kosovo Police Service
KPSS	Kosovo Police Service School
KR	Contractor
KSC	Kennedy Space Center (NASA)
KSN	Kit Stock Number
KSR	Keyboard Send/Receive
KT	Kiloton (equivalent of 1,000 tons)
KTAS	Knots, True Air Speed
KTC	Kosovo Transitional Council
kts	Knots
KTTN	Kosovo Terrestrial Transmission Network<BR><BR><BR><A href='http://www.osce.org/kosovo/bodies/tmc/pa_txt.php3?lg=e&n=6'>PUBLIC ANNOUNCEMENT NO. 2000/6</A><BR>As noted in Public Announcement No. 2000/1 from the Office of the Temporary Media Commissioner (<A href='bword://TMC'>TMC</A>), Kosovo-wide Broadcasting licenses were to be determined at a time after the award of the Temporary Operating Permits for local stations. <BR> <BR>Thanks to the generous support of the Japanese and the American Governments and Com <A href='bword://KFOR'>KFOR</A>'s assistance, it is hereby announced that the Office of the TMC shall be inviting applications from Kosovar residents and legal entities owned and duly registered by Kosovar residents for the purpose of operating a Kosovo-wide radio and television service on the <B>Kosovo Terrestrial Transmission Network</B> (KTTN). <BR>
KUSP	Kommittén för utrikes- och säkerhetspolitik <BR> <BR>EU's gemensamma krishantering <BR> <BR>Permanent Political and Security Committee (<A href='bword://PSC'>PSC</A>) <BR> <BR>Officiellt beslut: <A href='http://ue.eu.int/pesc/Military/en/L27-1en.pdf'>http://ue.eu.int/pesc/Military/en/L27-1en.pdf</A> <BR>
KVA	Kilovolt-ampere
KVM	Kosovo Verification Mission <BR> <BR>(<A href='bword://OSCE'>OSCE</A>)
KVS	kV Standards
KVYT	Keyboard Visual Display Terminal
kW	Kilowatt
KY	Keyhole (US satellite)
L	Launched<BR>
L/D	Lift-off to Drag ratio
L/FS	Logistics and Fleet Support
LA	Legislative Affairs
LABS	Low Altitude Bombing Systems
LACE	Low-power Atmospheric Compensation Experiment
LAD	Low Altitude Dispenser
Ladar	Laser radar
LAI	Light Armored Infantry (battalion) (USMC)
LALS	Linkless Ammunition Loading System
LAM	Land-Attack Missile
LAMPS	Light Airborne Multipurpose System (Helicopter)
LAMS	Local Asset Management Subsystem
LAMTR	Large Area Multi-Threat Training Range
LAN	Local Area Network
LANA	Low Altitude Night Attack
LANDCENT	Allied Land Forces Central Europe
LANDSOUTH	Allied Land Forces Southern Europe
LANDSOUTHCENT	Allied Land Forces South Central Europe
LANDSOUTHEAST	Allied Land Forces Southeastern Europe
LANL	Los Alamos National Laboratory (New Mexico)
LANT	<B>PAC</B>- Training Group Atlantic/Pacific
LANTIRN	Low-Altitude Navigation and Targeting Infrared for Night
LAP	Launcher Avionics Package
LAPADS	Lightweight Acoustic Processing and Display System
LAPES	Low-Altitude Parachute Extraction System
LAPL	Lead Allowance Parts List
LAR	Logistics Assessment Review
LARC	Landing Amphibious Recovery Craft Lighter, Amphibious, Resupply, Cargo
LARRS	Low-Altitude Retrorocket System
LARRY	Gulf War Forward Assembly Area used by Aviation Brigade, 1st Armored Division
LASA	Launch Area Support Aircraft
Laser	Light Amplification by Simulated Emission of Radiation
LASH	Lighter Aboard Ship
LASR	Low Altitude Surveillance Radar
LASS	Launch Area Support ship; Language for Assembly
LAT	Low-Altitude Tactics
LATD	Logistics and Administrative Time Delay
LAU	Launcher
LAV	Light Armored Vehicle
LAV-AD	Light Armored Vehicle--Air Defense (USMC)
LAV-AG	Light Armored Vehicle--Assault Gun (USMC) <BR> <BR>
LAVB	Light Armored Vehicle Battalion (USMC)
LAW	Light Attack Wing; Light-Weight Anti-Tank Weapon
LAWS	Light Attack Weapon School
LB	Pound; Low Band
LBT	Land Based Tanker (aircraft)
LBTS	Land Based Teat Site
LC	Labor Group; Logistics Communication
LCA	Logistics Cognizance Activity
LCAC	Landing Craft Air Cushion
LCC	Logistics Coordination Centre
LCCA	Life Cycle Cost Analysis
LCCB	Local Configuration Control Board
LCCTOM	LCC Trade-Off Model
LCDR	Lieutenant Commander
LCF	Low Cycle Fatigue
LCL	Less Than Carload
LCM	Landing Craft Mechanized
LCN	LSA Control Number
LCO	Local Community Officers [in Kosovo]
LCOM	Logistics Composite Model
LCP	Local Calibration Procedure; Life Cycle Profits; Logistic Capability Plan; Letter Change Proposal
LCS	Launch Control System
LCU	Landing Craft - Utility; Light Control Unit
LD	Low Drag (bomb)
LDA	Logistic Design Appraisal; Lowest Designate Assembly; Lead Design Activity
LDC	Logistics Data Communications
LDD	Logistics Development Plan
LDDI	Local Distributed Data Interface
LDGP	Low Drag General Purpose (bombs)
LDK	Democratic League of Kosovo (Lidhja Demokratike te Kosovës)
LDMT	Logistic Data Management Team
LDO	Limited Duty Officer
LDP	Logistics Documentation Program; Local Data Processor
LDT	Logistic Delay Time
LEA	Launcher Electronics Assembly
LEAD	Logistics Engineering and Data; Letterkenny Army Depot
LEAP	Lightwieght Exo-atmospheric Projectile
LEAPS	Logistics Engineering/Analysis Precedence System
LEASAT	Leased Satellite Communications System
LEATHERBACK	World War II cover name for Woodlark Island (not an operation name)
LEC	Local Engineering Change
LED	Light Emitting Diode
LEDET	Law Enforcement Detachment
LEHRGANG	World War II (11-17 August 1943) evacuation of German troops from Sicily to the Italian mainland
LEI	Local Engineering Instruction
LEIDS	Logistic Electronic Information Delivery System
LEIP	Logistics Engineering Improvement Program
LEL	Lower Explosive Limit
LEM	Logistic Element(s) Manager; Lunar Excursion Module
LEO	Low Earth Orbit
LEPC	Local Emergency Planning Committee
LERX	Leading Edge Root Extension
LES	Local Engineering Specification
LESAT	Leased Satellite
LEVER	World War II operation in Italy to clear the area between Reno and the southwest shore of Lake Comacchio
LEYTE VICTORY	Gulf War code name used by 24th Infantry Division during early planning for offensive options
LF	Low Frequency
LFA	Lead Field Activity
LFAS	Low Frequency Active Sonar
LFM	Lineal Frequency Modulation
LFORM	Landing Force Operational Reserve Material
LFR	Liquid Fueled Rocket
LFS	Landing Force Support Ship
LFSMS	Logistics Forces Structure Management System
LFSP	Landing Force Support Party
LFT	Live Fire Test
LFV	Light Forces Vehicle
LG	Linkage Grant (NATO Science Programme)
LGB	Laser-Guided Bomb
LH	Labor Hour
LHA	Amphibious Assault Ship Landing Helicopter Assault
LHX	Light Helicopter, Experimental (Army)
LI	Letter of Intent
LIBERTY	Gulf War code name for an XVIII Airborne Corps area of operations
LIC	Low-Intensity Conflicts
LICA	Life Impact Cost Analysis
LID	Library Issue Document
LIDS	Lift Improvment Devices
LIFEX	Life Extension
LIFO	Last In First Out
LIFT	Lead-in Fighter Training
Light	Level Television
LILLIPUT	World War II operation to defend Buna (1942)
LIME	Gulf War VII Corps phase line
LIMISS	Logistics Information Management Support System
LIN	Line Item Number
LIR	Logbook and Inventory Record
LIRSH	List of Items Requiring Special Handling
LIS	Laboratory Integrated System
LITTLE SWITCH	Korean War operation for the repatriation of sick and wounded prisoners of war
LKA	Amphibious Cargo Ship
LLCSC	Lower Level Computer Software Components
LLIL	Long Lead Time Item List
LLL	Low Light Level
LLLGB	Low Level Laser Guided Bomb
LLLTV	Low Light Level Television
LLNL	Lawrence Livermore National Laboratory
LLT	Long Lead Time
LLTI	Long Lead Time Item
LLTIL	Long Lead Time Items List
LLTV	Low-light Television
LM	Logistics Manager; List of Materials; Logic Module
LMA	Launcher Mechanical Assembly
LMCC	Logistics and Movement Control System
LMFC	Lower Motor Fire Connector
LMI	Logistics Management Institute
LML	Lower Maintenance Level
LMT	Local Mean Time; Logistics Management Team
LMTCE	Lead Maintenance Technology Center for the Environment
LNG	Liquified Natural Gas
LNO	Liaison Officer
LNRFS	Low Noise Radio Frequency Source
LO	Local Oscillator
lo-lo-lo	ingress, attack, and egress at low altitude
loa	Length Overall
LOAL	Lock-On After Launch (missile)
LOAP	List of Applicable Publications (Air Force)
LOB	Line of Balance
LOBL	Lock-On Before Launch (missile)
LOC	Line of Communications
LOC(s)|LOC	Line(s) Of Communication
LOCE	Linked Operations Communications Europe (Intel)
LOD	Launch on Demand
LODI	List of Deleted Items
LOE	Level of Effort
LOEP	List of Effective Pages
LOG	C3I- Logistics Command, Control, Communications and Intelligence
LOGAIR	Logistics Airlift
LOGCAP	Logistics Civil Augmentation Program
Logframe|"logframe"|"logframes"|logframes	The <B>Logical Framework</B> or logframe is essentially a planning matrix which summarises the linkages between the goals, purpose, outcomes and activities of a proposed intervention. It draws attention to the fact that assumptions are often made in project design, and requires these to be listed. Indicators of outcomes, goals and objectives should also be described and used for monitoring and evaluating the intervention. <BR><BR>Document with a full discussion:<BR><A href='http://www.livelihoods.org/post/Docs/logframe.rtf'>http://www.livelihoods.org/post/Docs/logframe.rtf</A> <BR>.<BR><BR>
LOGJAM	Logistic Justification Analytical Model
LOGMARS	Logistics Applications of Automated Marking and Reading Symbols
LOGNET	Logistic System Information Network
LOGPARS	Logistics Planning and Requirements Simplification System
LOGREQ	Logistics Requirements
LOGSAT	Logistics Support Assistance Team
LOGSIP	Logistics Support Improvement Plan
LOGSR	Logistics Airlift
LOI	Letter of Instruction
LOMIS	Logistics Management Information System
LONDON	World War II phase line for XVIII Airborne Corps near Wesel, Germany
LOR	Level of Repair; Launch Off RWR
LORA	Level of Repair Analysis
LORAN	Long-range Navigation
LORO	Long Range Objectives
LOROP	Long-range Oblique Photography
LOS	Line-of-Sight <BR> <BR>
LOS-F-H	Line-of-Sight Forward-Heavy
LOS-R	Line-of-Sight Rear
LOSAT	Line-Of-Sight Anti-Tank missile
LOSR	Line-Of-Sight Range
LOT	Life of Type
LOTS	Logistics Over The Shore
LOX	Liquid Oxygen
LP	Logistics Planner; Launch Point
LP&P	Logistics Policy and Procedures
LPAN	Logistics Action Planning Notice
LPAR	Large Phased-Array Radar
LPC	Logistic Planning Consideration
LPD	Landing Platform Dock; Amphibious Transport Dock Ship
LPH	Amphibious Assault Ship
LPI	Low Probability of Intercept
LPM	Logistic Project(ion) Model; Landing Party Manual
LPMES	Logistics Performance Measurement and Evaluation System
LPS	Local Process Specification; Logistics Policy Statement; Laboratory Program Summary
LPX	Liquid Plime Imaging Experiment
LR	Long Range
LRA	Long-Range Aviation (Soviet, no longer used)
LRAACA	Long Range Anti-Submarine-Warfare Capable Aircraft
LRB	Ship Installed and Expeditionary Airfield Launch, Recovery and Visual Landing Aid Equipment Bulletin
LRC	Ship Installed and Expeditionary Airfield Launch, Recovery and Visual Landing Aid Equipment Change; Langley Research Center (NASA)
LRCA	Local Repair Cycle Asset
LRCCM	Long-Range Conventional Cruise Missile (USAF)
LREPS	Long Range Environmental Planning Simulator
LRFP	Logistic Research Funding Policy/Logistics Requirement Funding Plan
LRG	Logistic Review Group
LRGT	Logistic Requirement Generation Team
LRINF	Longer-Range Intermediate-range Nuclear Forces
LRIP	Low Rate Initial Production
LRM	Line-Replaceable Module
LRMTS	Laser-ranger and Marked-target Seeker
LRNC	Long Reference Number Code
LRP	Logistics Requirement Plan
LRS	Light Replaceable Assembly
LRU	Line Replaceable Unit; Lowest Relolaceable unit
LS	LINKED SEAS (NATO exercise)
LS&MHT	List of Standard Maintenance Hand Tools
LS/IS	Logistic Support/Information System
LSA	Logistic Support Analysis
LSACN	LSA Control Number
LSAP	LSA Plan
LSAR	LSA Record
LSARMS	LSAR Management System
LSB	Lower Side Band
LSC	Logistic Support Cost
LSD	Large Screen Display; Logistics Support. Directorate; Dock Landing Ship
LSDF	Logistics Support Data File
LSDS	Logistics Support Detailed Specification
LSE	Logistics Support Equipment
LSI	Large Scale Integration; Long Supply Indicator; Lear Siegler Inc.
LSIN	Logistics System Information Network
LSMIS	Logistics Support Management Information System
LSMP	Logistics Systems Modernization Program
LSMS	Legal System Monitoring Service
LSO	Landing Signal Officer; Laser Safety Officer
LSP	Logistics Support Plan
LSPC	Logistics System Policy Committee
LSPPS	Logistic Support Plan for Preoperational Support
LSR	Logistic Support Representative/Review/Requirement
LSRB	Laser Safety Review Board
LSS	Launch Support Structure
LSSC	Logistics Supply Status Code
LSSO	Laser System Safety Officer
LST	Landing Ship Tank, Laser Spot Tracker
LST/SCAM	Laser Spot Tracker/Strike Camera
LSTTL	Low-power Schottky Transistor-Transistor Logic
LSU	Launch Sequence Unit
LSV	Large Scale Vehicle (SSN-21 scale model)
LSW	Large Scale Warhead
LT/CCM	Load Training/Captive Carry Missile
LTA	Lighter-Than-Air (airships, blimps)
LTATKWPNSCLPAC	Light Attack Weapon School Pacific
LTBT	Limited Test Ban Treaty (US-USSR 1973)
LTD/R	Laser Target Designtor/Ranger
LTDP	Long-Term Defence Programme
LTE	Launch-To-Eject
LTL	Less than Truckload
LTM	Load Training Missile; Long term monitoring
LTPD	Lot Tolerance Percent Defective
LTV	Ling-Temco-Vought
LUI	Life Usage Index
LUMBERJACK	World War II (February-March 1945) converging offensive by First and Third Armies to create a pocket of trapped Germans in the Eifel
LUT	Line Under Test
LUU	Illuminating, Unit
LVPS	Low Voltage Power Supply
LVS	Logistics Vehicle System (USMC)
LVT	Amphibian Tractor (now AAV series)
LW	Light Weight
LWC	Lead Work Center
LWOP	Leave Without Pay
LWT	Lightweight Torpedo
LZ	Landing Zone
Löjtnant	Swedish military rank, <BR> <BR> <BR>UK: <BR>Lieutenant <BR> <BR> <BR>USA: <BR>First Lieutenant <BR> <BR>For a full list of Swedish ranks click here: <A href='bword://smrs'>Swedish military ranks</A> <BR>
M	Mean Active Maintenance Time
M-day|mday	Mobilization-day <BR> <BR>
M&O	Maintenance and Operating
M&OTA	Maintenance and Operator Task Analysis
M&S	Methods and Standards
M+1	Mobilization Plus One Month
M109A6	Paladin self-propelled howitzer
M1A2	Abrams main battle tank, latest version
M1A3	Abrams main battle tank, notional future version
M2A3	Bradley fighting vehicle, latest infantry version
M2A4	Bradley fighting vehicle, notional future version
M3A3	Bradley fighting vehicle, latest cavalry version
MA	Missile Acquistion; Memory Address
MA/FH	Maintenance Action Per Flight Hour
MA/OH	Maintenance Action Per Operating Hour <BR>
MAA	Shipboard Police Force
MAAG	Military Assistance and Advisory Group
MAARS	Marine Corps Ammunition Automated Inventory Record
MAB	Marine Amphibious Brigade, changed to MEB in 1988
MABS	Marine Air Base Squadron
MAC	Military Airlift Command (now AMC)
MACC	Mine Action Co-ordination Centre
MACCS	Marine Corps Air Command and Control System<BR><A href='http://www.periscope.ucg.com/terms/t0000173.html'> </A><BR>
MACG	Marine Air Control Group and Wing Weapons Unit
MACH	A measurement of speed in relation to the speed of sound
MACS	Aviation:<BR>Modular Airborn Computer System, the Ericsson developed D96 central computer in the <A href='http://www.gripen.saab.se/'>SAAB JAS39 Gripen</A> (Mk 3), fourth generation fighter.<BR><BR>Alt:<BR>Microwave Alignment and Calibration System; <BR><BR>Marine Air Control Squadron<BR><BR>
MAD	Magnetic Anomaly Detector; Marine Air Detection; Marine Aviation Detachment; Mutual Assured Destruction
MADAR	Malfunction Detection, Analysis and Recording
MADM	Multiple Attribute Decision Making
MADREC	Malfunction Detection and Recorder
MAF	Maintenance Action Form; Marine Amphibious Force
MAFET	Microwave Analog Front End Technology<BR><A href='http://www.periscope.ucg.com/terms/t0000174.html'> </A><BR>
MAFI	Missile Auxiliary Firing Interlock Assembly
MAFIS	Mobile Automated Field Instrumentation System
MAG	Marine Aircraft Group; Magnetic; Magazine
MAGIC	World War II signals intelligence derived from interception of Japanese encoded message traffic
MAGIC II	Matrix Analysis by Generative and Interpretive Computation
MAGNET	World War II movement of the first US forces into Northern Ireland
MAGNETO	World War II code name for the Yalta portion of the Argonaut Conference
MAGTF	Marine Air Ground Task Force
MAI	Material Annex Item
MAILFIST	World War II (1945) recapture of Singapore
MAIMS	Master Asset Inventory Management System
MAINAC	Maintenace Activity
MAINT	Maintenance
MAINYARD	World War II code name for the island of Guadalcanal (not an operation name)
MAIR	Master Aircraft Inventory Record
MAISRC	Major Automated Information Systems Review Council
MAJCOM	Major Air Command (USAF)
Major	Swedish military rank, <BR> <BR> <BR>UK: <BR>Major <BR> <BR> <BR> <BR>USA: <BR>Major <BR> <BR>For a full list of Swedish ranks click here: <A href='bword://smrs'>Swedish military ranks</A> <BR>
MAL	Mobilization Allowance List; Malfunction
MALE	Medium Altitude, Long Endurance
MALI	Material Annex Line Item
MALLORY MAJOR	World War II air offensive against the bridges over the Po River
MALS	Marine Aviation Logistics Squadron
MALSP	Marine Aviation Logistics Support Program
MAM	Maintenance Assist Module
MANNA	World War II British occupation of southern Greece
MANPRINT	Manpower and Personnel
MAOT	Maximum Allowable Operating Time <BR>
MAP	Military Assistance Program
MAPAD	Military Assistance Program Address Directory <BR>
MAPE	The Multinational Advisory Police Element (MAPE) for Albania, established under the authority of the WEU Council, has been deployed in Albania since 1997. <BR> <BR>The aim of the MAPE mission is to rebuild the Albanian police by a process of modernization and to gradually tranfer the training functions to it as well. <BR> <BR>Official homepage: <A href='http://www.weu.int/eng/mape/info.htm'>http://www.weu.int/eng/mape/info.htm</A> <BR>
MAPL	Maintenance Plan; Minimum Acquisition Power Level <BR>
MAPMIS	Manpower and Personnel Management Information System <BR>
MAPRAD	Manpower Personnel Research and Development <BR>
MAPS	Multiple Activity Processing System <BR>
Mar	Marine
MARAD	Maritime Administration (US)
MARAIRMED	Maritime Air Forces Mediterranean
MARBDE	Marine Brigade
MARC	Material Accountability/Recoverability Codes <BR>
MARCOR	Marine Corps
MARCORSYSCOM	Marine Corps Systems Command <BR>
MARDEZ	Maritime Defense Zone (USN-USCG)
MARDIS	Modern Army Research and Development Information System <BR>
MARDIV	Marine Division <BR>
MAREQ	Military Assistance Requirement
MARES	Marine Corps Automated Readiness Evaluation System <BR>
MARFORLANT	Marine Forces Atlantic <BR>
MARFORPAC	Marine Forces Pacific <BR>
MARKET	World War II airborne operation in September 1944 Holland designed to facility ground force crossing of lower Rhine River (also see <A href='bword://GARDEN'>GARDEN</A>)
MARLOG	Marine Logistics <BR>
MARMTD	Marine Air Reserve Missile Training Detachment <BR>
MARP	Manpower Allocation/Requirements Plan <BR>
MARPOL	International Maritime Convention for the Prevention of Pollution from Ships <BR>
MARQ	Maximum Allowable Requisition Quantity <BR>
MARS	Military Affiliate Radio System
MARSA	Military Assumes Responsibility for Separation of the Aircraft <BR>
MARSAT	Maritime Satellite
MARSO	Marine Ammo Requirements Support Order <BR>
MARTC	Marine Air Reserve Training Command <BR>
