##name	Gali's Gastronomical Glossary
##sourceLang	English
##targetLang	Hebrew
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1255
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1255
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_lastUpdated	2005/12/18, 13:50
##bgl_middleUpdated	2005/12/18, 13:50
##author	Gali
##browsingEnabled	
##bgl_creationTime	2003/04/20, 11:15
##description	English-Hebrew
##purchaseAddress	
Rods|rod|rods	מקלות, מוטות
Roe|roe	1. ביצי דגים<BR>2. זן של צבי/אייל שמקורו באסיה ואירופה
Roesti|R?sti potatoe|R?sti potatoes|Roesti potatoe|Roesti potatoes|r?st|r?sti|roest	רושטי - בשוויצרית הפירוש המילולי למילה הינו "פריך ומוזהב". מהבחינה הקולינרית המינוח מתייחס למאכלים ובעיקר לפלחי תפו"א שבושלו, מוקפצים משני הצדדים עד להשחמה ומעוצבים כאומלט שטוח (צורת המחבת).
Roll|Rolling|Rolls	(פ') לגלגל, להתגלגל, ליצור צילינדר (צורת גלילה)<BR>גלגול, מעין גלילה=רול (למשל "סושי רול")
Rolled Out|RolledOut	משוטח, מרודד, פרוס ומיושר<BR>
Rolling Pin|RollingPin	מערוך
Romaine|romaine	חסת עלים (חסה ערבית)
Romanesco|Romanesca|Romanesca cauliflower|summer cauliflower	זן של כרובית מצפון איטליה שצבעה ירקרק-ליים בהיר ותפרחתה מסודרת במעין פירמידה של גביעים ספירליים.
Romano cheese|Romano|Romanocheese	סוג של גבינה
Rome Beauty apple|Rome Beauty apples|RomeBeauty apple	תפו"ע אדום כהה עם נקודות צהובות. בשרו האופוויטי בעל טקסטורה קמחית מעט אך מאחר ושומר על צורתו באפיה מומלץ לעוגות ובישול.
Romesco|romesco	רוטב קטלוני (ספרד) של עגבניות, פלפלים אדומים, שום, בצל ושקדים טחונים עם שמן זית
Room temperature|room|room temperature|roomtemperature|temperature	בטמפרטורת החדר
Root Vegetables|Root Vegetable|RootVegetables	ירקות שורש
Root beer|root beer|rootbeer	בירה שחורה
Roquefort|Roquefort cheese|Roquefortcheese	גבינת רוקפור
Roquette|Garden cress|rocket|roquette|àøåâåìä|øå÷è	רוקט, ארוגולה, בן חרדל מצוי (עשב מאכל)
Rose|Roses	ורד (פרח)
Rose hip|rose hip	פרי בשל של פרח הורד
Rose water|rose water|rosewater	מי ורדים
Rosemary	רוזמרין (עשב תבלין)
Rossini|eggs Rossini|tournedos Rossini	מינוח קולינרי צרפתי שמשמש לתיאור מנות המלוות בכבד אווז, פטריות כמהין ורוטב דמי גלאס (רוטב חום עשיר)
Roti|r?ti	המנוח הצרפתי ל"צלוי" או "צלי"
Rotie|r?tie	1. מתאבן : פטה על קלי<BR>2. קלי, טוסט
Rotini|Spirals|Twists	פסטה בצורת "ביסלי גריל" מתאימה לרטבים סמיכים (הכיפופים "אוחזים" בחתיכות הרוטב) ותבשילים.
Roulade|Roulades	רולדה <BR>1. בהקשר של קינוח מדובר בעוגת ספוג מגולגלת וממולאת בקרם<BR>2. בהקשר של מזון מדובר במעין גלילת בשר (כמו לוף בצבא)
Rouladen|Kohlrouladen|Rindsrouladen	רולדן - גליל/רולדת בשר (כמו לוף) <BR><I>Rindsrouladen</I><BR>- נתחי בשר מגולגלים סביב תערובת של מלפפון חמוץ, בצל ובייקון.<BR><I>Kohlrouladen</I><BR>- עלי כרוב ממולאים בבשר טחון<BR>
Royal Ann cherry|Napoleon cherry|Royal Ann|RoyalAnn|RoyalAnn cherry|ãåáãáï|ãåáãáðéí	זן של דובדבן
Rub|Rab|Rubbing	שפשוף, מריחה<BR>(פ') למרוח, לחכך, לשפשף, ללטש
Rum|rom|ronn|room	רום (משקה חריף מקני סוכר)\nקיים בואריאציה  שקופה - מקורו באיי הבתולה, קובה ווארטו ריקו ובואריאציה כהה (בתוספת קרמל) - מקורו בברבדוס, ג'מאייקה, האיט ודומינגו.
Rump|RUMP	נתח בשר בקר הלקוח מאחורי החיה, מכונה "וויסבראטן".<BR>בשר קשה המתאים לנזיד המבושל ארוכות ולטחינה <BR>
Rumsteak|rumsteak	"צ'ך", ירכה<BR>בשר קשה מחלקו האחורי של הבקר המתאים לבישול ממושך כצלי או לטחינה <BR>
Ruote|Wagon Wheels|ruote de carro	גלגלי פסטה (נראים כמו מיני גלגלי מרכבה)
Russian dressing	"רוטב רוסי" - רוטס לסלט שלמעשה מקורו בארה"ב. הלה כולל מיונז, רוטב צ'ילי או קטשופ, עירית, פלפל חריף ועשבי תיבול.
Rusty nail|rusty nail|rustynail	ראסטי נייל - קוקטייל : חצי ויסקי סקוטי (סקוטש) וחצי דרמבוי על קרח.
Rutabaga|Swede turnip|Swedish turnip|rotabagge|swede	ירק שורשי צהבהב ממשפחת הכרוב הנראה כלפת גדולה , למעשה יש הטוענים שירק זו הינו הכלאה של לפת וכרוב
Rye|rie|ùéôåï	שיפון
S'more|S'mores|Smores|smore	סנדביץ' עוגיה, המורכב מביסקוויטי שוקולד (grahamcrackers) ומילוי של מרשמלו שהותך על אש ישירה וקוביית שוקולד
Sable	סבליי - עוגיה צרפתית קלאסית בעלת טקסטורה עדינה ופירורית
Sabra liqueur|Sabra|Sabre	סברה - ליקר תוצרת כחול לבן בטעם שוקולד-תפוז, קיימת גם ורסיה בטעם קפה
Sabrina|Sabrinna|Savarin|Savarina	סברינה - עוגת ספוג אישית ממולאת בקצפת וספוגה ברום
Saccharin|Sacchrin|Sacharin|Sachrin|Sakrin|sakarin	סכרין, ממתיק מאלכותי
Sachertorte|sacher torte|sachertorte	סאכרטורט (מקור :וינה, אוסטריה)<BR>עוגת שוקולד ייחודית כהה ועשירה <BR>
Saddle|saddle	"אוכף" - הכוונה לנתח בשר-מותן (לרב של צבי\\כבש\\עגל) משני צידי החיה ללא הפרדה (מהצלע ועד לרגל)
Safflower|Imeretic Saffron|false Saffron|safflower	חריע (צמח תבלין), "זעפרן מזויף"<BR>מזרעיו יוצרים שמן
Saffron|Safron|æòôøï	זעפרן (תבלין)
Saganaki|saganaki	סגנקי - מתאבן יווני, גבינת קסרי מטוגנת בשמן זית או חמאה, עליה בזק לימון והגישו על בסיס פיתה.
Sage|Saje|ìòðä|îøååä	מרווה, לענה (עשב תבלין)
Sago|sago	סגו - סוג של עמילן המופק מגזעיהם של עצי דקל (משמש להכנת פודינג)
Saint-Germain|Germain|Saint Germain|SaintGermain	סן ג'רמן - ינוח צרפתי המתאר מנה המוגשת עם\\לצד אפונה ירוקה\\מחית אפונה
Saint-Honore cream|Saint Honore|Saint-Honore|SaintHonore|SaintHonore cream	קרם סנטאונורה - קרם פטיסייר ש"הובהר" ע"י הוספת קצף ביצים או קצפת
Sake|saki|ñà÷é	סאקי - משקה חריף יפני על בסיס אורז מותסס
Salad|ensalada|ñìè	סלט
Salad spinner|salad spinner|saladspinner	כלי לשטיפת חסה על בסיס צנטריפוגה - מותיר את עלי החסה שטופים ויבשים, וכן שומר על טריותם והפריכות שלהם.
Salam Leaf|Salam|SalamLeaf	עלי תבלין עדינים ממשפחת הקסיה
Salami|ñàìàîé|ñìîé	סלמי (נקניק)
Cold cuts|Cold cut|Coldcuts	נקניקים (פרוסות בשרים קרים)
Salbutes|Salbute	(מהמטבח של בליז) בסיס של עיגול בצק תירס מטוגן מוגש עם נזיד עוף וכרוב ועגניות וכוסברה טריים מעל (ניתן להחליף העוף בשעועיות).
Salicornia|Barba de capuchino|Barbe de capucin|Crithmum maritimum|glasswort|marsh samphire|rock samphire|salikornia|samphire|sea bean|sea pickle	צמח מאכל בעל עלים בשרניים בטעם מי-ים (זן הסמפייר גדל בחופי בריטניה וצפון מערב אירופה וזן הסליקורניה גדל בארה"ב)
Salmagundi|salmagundi	סלמגונדי <BR>1. מושג כללי לתבשיל\\מנה רבת מרכיבים<BR>2. סלט ירוק עם קוביות בשר מעושן, ירקות, אנשובי, ביצה קשה וחמוצים.
Salmi|salmi|salmis	תבשיל\\רוטב פיקנטי על בסיס יין הכולל עופות צייד צלויים חלקית וטחונים ופטריות.
Salmon|salmon	סלמון, אילתית (דג מאכל)
Saloop|julep|saloop	סחלב - משקה מזרחי מתוק וסמיך העשוי מקמח תירס וחלב ולרב מוסיפים לו פירות, קוקוס, אגוזים וקינמון. ניתן להגשה חמה או קרה.
Salpicon	סלפיקון - מינוח צרפתי שמתאר קוביות מרכיבי מזון מבושלות "המקושרות" ברוטב\\סירופ\\קרם והמשמשות למילוי או עיטור.
Salsa|salsa	סלסה - רוטב מקסיקני חריף על בסיס עגבניות, בצל וצ'ילי
Salsify|oyster plant|oysterplant	ירק שורשי בעל טעם עדין של צדפות הנראה כגזר בעל עור אפרפר ובשר לבן (קיימים גם זנים בעלי עור שחרחר או זהוב)
Salt|îìç	מלח<BR>(פ') להמליח, לזרות מלח, לשמר במלח
Salt free|salt free|saltfree	נטול מלח
Saltimbocca|saltimbocca	סלטימבוקו - מעדן רומאי המורכב מנתח עגל חלב דק עליו שמים עלה מרוה ומעליו נתח פרושוטו (הכל מוחזק יחדיו עם קיסם או מגולגל). מקפיצים בחמאה ובוזקים מעל הכל יין לבן
Sambaar Powder|Sambaar|SambaarPowder	תערובת תבלינים מהמטבח ההודי הדרומי<BR>כמון, חרדל שחור, חילבה, צ'ילי, עדשים צלויים או קטניות קטנות.
Sambal|sambal	תבלין\\ממרח אינדונזי\\מלזי חריף על בסיס צ'ילי, סוכר מלח וליים - מוגש כתוספת למנה עיקרית\\אורז
Sambuca	ליקר איטלקי בטעם אניס
Samke Hara|SamkeHara	מנה לבנונית - דג אפוי עם טחינה ומלית חריפה
Samosa|samosa	סמוסה - "סמבוסק" הודי מטוגן
Samp	שברי גרעיני תירס קלופים מיובשים
Sanding Sugar|SandingSugar	סוכר גס לעיטור (גבישיו גדולים פי 4 מסוכר רגיל)
Sandwiches|sandwiche|sandwiches	כריך, סנדביץ'
Sangrita|sangrita	משקה ספרדי\\מקסיקני קר על בסיס עגבניות, מיצי תפוזים ולימונים\\ליים ואלמנט חריף (טבסקו למשל)
Sangría|sangria|sangría	סנגריה - פונצ' אלכוהולי קר מיין אדום, מיץ פירות, חתיכות פרי, מי סודה ולעיתים ברנדי\\קוניאק.
Sansho|sansho|szechuan pepper	תבלין יפני חריף קלות מאבקת גרגרי עץ ה-ASH (ממשפחת הזיתים). הסינים קוראים לתבלין זה פלפל סיצ'ואני
Sap|sap	לשד, המיץ של הצמח
Sardine|Sardines	סרדין, טרית (דג מאכל)
Sarsaparilla|sarsaparilla	קיסוסית (צמח)
Sashimi|sashimi	סשימי - נתחי דג נא דקים (מנה יפנית)
Sassafras|Augue tree|Auguetree|sassafras	סוג של עץ שמעליו מייצרים תבלין ומשורשו שמן (אם כי מריר מאוד). לעליו ארומה חלשה של לימון.
Satay|satay|sate	שיפודי בשר\\עוף\\חזיר ברוטב בוטנים (תאילנד\\אינדונזיה)
Saturated|saturate|saturated	רווי, ספוג<BR>(פ') להספיג, להרוות
Saturated fat|saturated fat|saturatedfat	שומן רווי
Sauce|Sauces	רוטב
Sauceboat|sauce boat|sauceboat	כלי להגשת רוטב בעל ידית ו"משפך"
Saucepan|saucepan	סיר נמוך ועמוק עם ידית, קלחת
Saucer	צלוחית, תחתית לספל
Saucisse|saucisse	נקניקייה קטנה (צרפתית)
Sauerbraten|sauerbraten	"צלי חמוץ" (גרמניה) - צליית צלי בקר במרינדה חמוצה-מתוקה (יין אדום, חומץ, עלי דפנה ועוד) לאחר שהושרה בה ארוכות (מספר ימים).
Sauerkraut|sauerkraut	כרוב כבוש
Sausage|Sausages	נקניק, נקניקייה
Sauteing|saute|sauter|soteing	(פ') לטגן קלות (עם חמאה\\שומן)\nמבחינת שיטות בישול הכוונה להקפצה במחבת
Sauternes	סוטרן - סוג של יין לבן
Sauvignon Blanc|SauvignonBlanc	סוג של יין לבן (ענבי הסוביניון נחשבים לטובים ביותר)
costmary|Balsamier|Erba di San Pietro|alecost|chrysanthemum balsamita	צמח גינה בעל ריח בלסמי חזק\nקרוי גם : alecost
Savory|C?rea|Erba acciuga|Santoreggia|Savori	צתרה, צתרת החורף, זעתר רומי (עשב תבלין)<BR>וגם תואר - טעים, בעל טעם נעים, בעל ניחוח נעים, ריחני
Savoury|savoury	מונח בריטי שבמקור תיאר מנות שהוגשו לאחר המנה האחרונה לרענן את החיך. אך כיום מתייחסות למנות קלות המוגשות כמתאבן, לשעת מנחת התה או ארוחת ערב קלה.
Sazerac	סזורק - קוקטייל מוויסקי, סירופ סוכר ומעט פרמו ובירה כהה.
Scald|scald	(פ') לצרוב, לשלוק, לחלוט, לחמם עד לרתיחה
Scales|Scale	כפות מאזניים, מאזניים, סקאלה, קנה מידה<BR>(פ') לשקול, לבצע לפי קנה מידה
Scallion|Scallions|scallion	בצל ירוק
Scallops|Scallop|Vieira	סוג של צדפה בינונית
Scaloppine|scallop|scaloppine	מינוח איטלקי לנתח בשר (לרב עגל) דק מקומח ומטוגן קלות. לרב מוגש עם רוטב על בסיס יין או עגבניות
Scaly|scaly	מקושקש, קשקשי
Scented|scent|scented	מבושם, בעל ריח\\ניחוח<BR>(פ') להריח, לבשם, לחוש ב...<BR>
Schaumtorten|schaum torte|schaumtorten	קינוח אוסטרי - שכבות מרנג אפוי מולאות בפירות ומעל לכל קצפת.
Schlag|schlag	קצפת (מגרמנית)
Schmaltz|schmaltz	שמעלץ, שומן עוף מעובד המשמש בבישול היהודי כתחליף לחמאה (כממרח או לטיגון)
Schmear|schmear	שמיר ("למרוח" מיידיש) - מושג קולינרי לקורטוב של ממרח, למשל גבינת שמנת, על בייגל\\לחמנייה.<BR>לאחרונה, חברות המתמחות בבייגלים בארה"ב יצרו ממרחי גבינת שמנת בטעמים\\עם תוספות ומשווקות אותם כ"שמיר" !
Schnappps	שנפס (משקה חריף לרב בטעם פרי כלשהו)
Schnapps|SCHNAPS|schnapps	שנפס (משקה חריף) - ליקר פירות בעל אחוזי אלכוהול גבוהים
Schnitz un knepp|schnitz un knepp|schnitzunknepp	מנה הולנדית מפנסילבניה - תפוחים מיובשים מושרים במים ואזי מבושלים בנוזל עם בייקון וכופתאות
Schnitzel|Schnitsel	שניצל, כתיתה
Scones|scone|scones	סקון - מעין לחמניה "לשעת התה" (מחיטה)
Scoop|scoop|scoops	תרווד, מצקת, כף<BR>(פ') לדלות, להעלות בכף
Scorched|scorch|scorched	צרוב, חרוך, שקמל בשמש<BR>(פ') לחרוך, לצרוב, לשרוף קלות
Score|score	חריץ, חתך<BR>(פ') לחרוץ, לחתוך
Scorpion|scorpions	קוקטייל על בסיס קרח מרום, ברנדי מיצי לימון ותפוזים וסירופ משקדים סוכר ומי ורדים.<BR>וגם עקרב (חיה)
Scorzonera|Black salsify|Blacksalsify|Spanish salsify|Spanishsalsify|scorzonera	סקורזוניירה - שורש דק בעל קליפה קשקשית בצבע שחור-חום.
Scotch|Scotche|Scotches	סקוטש (משקה חריף) = וויסקי אירי המופק משעורה
Scrapple|scraple	מאכל אמריקאי מטוגן המורכב מקמח תירס וחתיכות בשר חזיר
Scraps|scrap|scraps	חתיכות, פיסות, קטעים
Screwdriver|screw driver|screwdriver	קוקטייל - וודקה תפוזים
Scrod|scrods	דג מאכל
Scrumptious	מעולה, טעים מאוד
Sea Bream|Orata|Porgy|SeaBream|orade|scup	צ‘יפוּרה - דניס (דג מאכל)<BR>
Sea Cevina|SeaCevina	דקר, לוקוס (דג מאכל)<BR>
Sea anemone|oplet|sea anemone|seaanemone	שושנת ים
Sea urchin|sea urchin|seaurchin|urchin	קיפוד ים
Seabass|Branzino|Sea bass|Seebarsch|Seebass|bass|lubina	אוקונוס, בס (דג מאכל)
Cress|Kress|crescione|cresson	צמח ממשפחת החרדל (קרוב משפחה של גרגר הנחלים), עלי הבסיס שלו בצעירותם חריפים ומשמשים לסלטים ולתבלון
Seafood|mariscos|seafood	פירות-ים
Sear|Seared|Searing	חרוך, שרוף, צרוב<BR>(פ') לחרוך, לצרוב, לשרוף קלות, לקמול
Season|Seasoned	מתובל<BR>(פ') לתבל
Seasonal	עונתי, תקופתי
Seasoning|seasoning	תבלין, תיבול
Seaweed|Sea weed|Seaweeds|àöä|àöåú	אצות
Secret|secret|secreted	מופרש<BR>(פ') להפריש, לייצר
Sediment|sediment	משקע
Seed|Seeds	(ש'ע) גרעין, זרע<BR>(פ') לגרען, להוציא גרעינים/זרעים, להסיר גרעינים/זרעים
Seeded|seed|seeded	שהוצאו ממנו הזרעים<BR>(פ') להוציא זרעים מהירק\\פרי
Seedpod|seedpod	תרמיל (למשל של אפונה)
Seethe|seethe	(פ') לבשל בהרתחה, לתסוס, לגעוש, לבעבע
Seitan|seitan|wheat gluten|wheat meat	תחליף בשר המופק מגלוטן ("דבקית") מעובד שבושל
Self-rising flour|self-rising|self-rising flour|self-risingflour	קמח תופח מאליו
Seltzer|seltzer	סלצר, מים מינרלים מוגזים ("פרייה" הוא מותג ידוע)
Semi de melone|semi de melone|semidemelone	"גרעיני מלון" באיטלקית, שהו גם הכינוי לפתית פסטה הזהים בצורתם לגרעיני מלון.
Semifreddo|semifreddo|semifrio	סיימיפרדוו, "חצי קר" - מינוח איטלקי כולל למנות אחרונות קפואות<BR>וכן קינוח של מוס קפוא מקצף ביצים, קצפת, סוכר וחומרי טעם.
Semillon	סיימיון -זן של ענב לבן
Semisweet|semisweet	מריר (שוקולד), מתוק למחצה
Semolina|semolina|ñåìú	סולת
Serrano|Serano	פלפל צ'ילי קטן, "רזה" וחריף שצבעו משתנה מירוק לאדום ולצהוב ככל שמבשיל.
Serve|served	(פ') להגיש, לשמש כ..
Servings|Serving	מנות הגשה (כמות)
Sesame|sesame seeds|sesami|ñåîñåí	סומסום
Seviche|Sebiche|ceviche	סביצ'ה - מתאבן דרום אמריקאי: דגים נאים במרינדת מיץ הדרים, לרב ליים
Sevruga Caviar|Sevruga	סברוגה - ביצי קוויאר בינוניות בעלות טעם חזק ועדין בצבע אפור בהיר עד כהה.
Shabu Shabu|Shabu|ShabuShabu	מנה יפנית הכוללת בשר נא (נתחי בקר דקים כנייר) וירקות המבושלים ע"י כל סועד בשולחן עצמו בסיר של מרק צח.
Shad|Allis shad|Alosa|Grande alose|S?balo|alose|truealose	עלוזה (דג מאכל "קרוב משפחה" של ההרינג)
Shaddock|shaddock	פומלו (פרי הדר)
Shallots|echalote|shallot|shallots|échalote	בצלצלים, בצלצלי שאלוט (מוכרים כבצלצלים לבנים מוחמצים)
Shamoji|shamogi	כף יפנית דמוית משוט מעץ או במבוק לערבוב והגשת אורז
Shank|shank|shanks	שוק, בשר הלקוח מאזור הרגל של חיה
Sharbat|Charbat	שרבט - משקה קר הודי סמיך (עד כדי אכילה בכפית)על בסיס מיץ פירות או עלי כותרת של פרחים.
Shari|shari|sushi meshi	שארי - אורז המבושל לסושי (רמת בישול : "אל דנטה") ומתובל בחומץ אורז. קרוי גם "סושי משי"
Shark|shark	כריש
Shark's fin|fin|shark fin|shark's|shark's fin	סנפיר של כריש (ליתר דיוק הסחוס של הסנפיר) - נחשב למעדן יוקרתי
Sharp|sharp	חד
Shashlik|chachlik|shashlik|shish kebab|shishkebab	שישליק
She-crab soup|she crab soup|she-crab|she-crab soup|shecrab|shecrab soup	מרק סרטנים קטיפתי מדרום קרוליינה - מכיל בשר וביצי סרטן כמו גם שרי ורוטב וורססטרשייר
Shear|Shears	מספריים גדולים
Sheftalia	נקניקיות צלויות (קפריסין)
Shell|shell	קונכיה, צדף, קליפה, מעטפת חיצונית, שריון<BR>(פ') לקלף, להוציא מהקליפה
Shellfish|shell fish|shellfish	פירות ים בעלי קונכיות\\שריון כדוגמת צדפות, סרטנים, חסילונים וכו'
Shepherd's pie|shepherd pie|shepherd's|shepherd's pie|shepherd'spie	פשטידת רועים - בסיס של בשר כבש טחון ברוטב סמיך (ולעיתים ירקות) ועליו פירה תפו"א
Sherbet	שרבט - מקפא מיצי פירות ממותק, לעיתים כולל גם קצף ביצים, חלב ו\\או ג'לטין
Sherry|sheri|sherri|shery	שרי (יין אפריטיף שמקורו בעיר חרז שבספרד)
Tio Pepe	סוג של שרי ספרדי יבש
Shichimi togarashi|Shichimi|Shichimitogarashi|hichimi togarashi|ichimi|seven spice seasoning|togarashi	תערובת תבלינים יפנית למרקים הקרויה "שבעת התבלינים" - פלפל סיצ'ואני, פלפלי צ'ילי שונים, סומסום, קליפת תפוז וסיגרס (עשב תבלין מקומי)
Shiitake	פטריית שיטאקי
Shin|SHIN	זרוע הבקר, קצ'אלקה<BR>בשר קשה המתאים לבישול ממושך ברוטב <BR>
Shinmai|shinma|shinmai|shinmei	אורז "ביכורים" (נקצר בתחילת הסתיו) מתוק ועדין יותר ולכן דורש פחות מים ופחות זמן בישול
Shinshu miso|Shinshumiso	שינשו מיסו - ממרח פולי סויה חום-צהוב בעל טעם עדין ביחס לשאר ממרחי פולי הסויה
Shioyaki|shioyaki	מינוח יפני ל"צליית מלח" - הכוונה להמלחת הבשר בנדיבות והנחתו בצד לספיגת המלחים, קודם לצלייתו.
Ship Biscuit|Ship Biscuits|hardtack	סוג של ביסקוויט קשה
Shirataki|shirataki	אטריות דקות שקופות, דביקות וחסרות טעם, המופקות מעמילן של פקעת הידועה בשם "לשון השטן" (<I>Devil's Tongue</I>)<BR>
Shirley Temple|ShirleyTemple	שירלי טמל - קוקטייל נטול אלכוהול ממיץ רימונים וג'ינג'ר אייל (משקה מוגז בטעם זנגביל - פופולרי בארה"ב)
Shirred Eggs|Shirred|ShirredEggs	מנת ביצים אפויות בחלב\\שמנת ומצופות בפירורי לחם וחמאה עד אשר החלבון התקשה והחלמון נותר רך.
Shish Kebab|ShishKebab	שישליק
Shiso|Japanese basil|beefsteak plant|beefsteakplant|perilla|red shiso	עלי מאכל משוננים בעלי טקסטורת נייר קרפ המשומשים במטבח היפני לעיטור. טעמם נע בין בזיל למנטה.<BR>ידוע גם כבזיליקום יפני או פרילה
Shoga|Gari	פלחי ג'ינג'ר, ידועים גם בשם גארי.
Shoofly pie|shoofly|shoofly pie|shooflypie	פאי מתוק שמילויו מופק ממולסה, סוכר חום, מים וחמאה
Shoots|shoot|shoots	נצר, נבט, חוטר, גבעול\\גזע צעיר<BR>(פ') להצמיח
Short|short	בצק שאינו על בסיס שמרים או בצק עוגיות רווי שומן - לאחר אפיה התוצאה רכה, עשירה ופריכה
Shortbread|shortbread|shortbreads	עוגיית חמאה עשירה ופריכה
Shortcake|Shortcakes	עוגייה פריכה<BR>בארה"ב -עוגת בצק פריך עם מלית של פירות ומצופה שמנת
Shortening|shortening	שומן מוצק לאפיה (כדוגמת חמאה, שומן מן הצומח וכדומה)
A Proof|proof	אמת מידה לחוזק אלכוהולי של משקה. פרוף = 1/2 % אלכוהול\nמן הסתם ככל שהאחוז יותר גבוה, כמות האלכוהול במשקה גבוהה יותר
A fifth|fifth	הגודל סטנדרטי של בקבוקי שתיה חריפה\nהכוונה לחמישית גלון, קרי 3/4 ליטר
v.o|v.o.|äí	Very Old\nסימון לגילו של קוניאק - בין 7-10 שנים
v.s.o|v.s.o.|vso	Very Superior Old\nסימון לגילו של קוניאק - בין 10-15 שנות הבשלה בחבית העץ
v.s.o.p|v.s.o.p.|vsop	Very Superior Old Pale\nסימון לגילו של קוניאק - בין 15-25 שנה
x.o|x.o.|xo	Extra Old\nסימון לגילו של קוניאק - בן יותר מ-25 שנה
Noilly Pratt	וורמוט צרפתי
A Quart	1/4 גלון, שווה ערך לליטר פחות או יותר = 100 CL
Shots|Shot|chots	שוט - אופן הגשת משקה חריף בכוסית קטנה המודדת ומיועדת ל"מנה" אחת.
Shottsuru|shottsuru	רוטב דגים יפני
Shoulder|SHOULDER	כתף הבקר, קישרע<BR>בשר קשה המתאים לנזיד או לטחינה <BR>
Shoyu	רוטב סויה (ביפנית)
Shredded|shred|shredded	גרוס, טחון<BR>(פ') לגרוס
Shredding|shredding	כתישה, גריסה
Shrimp|Krabben|crevettes|gambas|gamberetti|shreemp|shrimps	חסילון, שרימפס
Shrub|shrub	שיח
Shuck|shuck	קליפה<BR>(פ') לקלף, להסיר קליפה
Sidecar|sidecar	קוקטייל על בסיס קרח מברנדי, ליקר תפוזים ומיץ לימון
Sieve|sieve	מסננת ממתכת, נפה
Sifter|sift|sifter	מסננת, נפה, אדם שתפקידו לסנן<BR>(פ') לסנן, לנפות, לברור, לבזוק
Silver Carp|SILVER CARP|SILVERCARP	כסיף (דג מאכל הגדל בכנרת ובבריכות גידול)
Silverside|SILVER SIDE|SILVERSIDE	כף, אחוריים צלויים של בקר (אנגליה)<BR>בשר מאיכות בינונית - מתאים לסטייקים, טיגון, נזיד וטחינה <BR>וגם זן של דגיגים (בעלי פסים כסופים דקיקים על צידי גופם)
Simit	לחמניית אסימון (עם חור באמצע) טורקית
Simmer|Simmered|Simmering	הרתחה\\רתיחה ממושכת<BR>(פ') להרתיח זמן ממושך, לבשל בהתמדה בטמרפטורה שהינה בדיוק מתחת לנקודת הרתיחה.
Singapore sling|Singaporesling	קוקטייל - ג'ין, שרי ומיץ לימון על בסיס קרח וסודה
Single-malt Scotches|single malt Scotches|single-malt|single-malt Scotches|singlemalt|singlemalt Scotches	וויסקי עשיר המופק משעורים שהונבטו בלבד.
Sip|sip|sipping	לגימה, "שלוק"<BR>(פ') ללגום, לגמוע
Sirloin|contre fillet|sirloyn	סירלוין, סינטה, מותן הבקר, מכונה: בשר-ורד.<BR>בשר מאיכות מעולה המתאים לסטייקים לטיגון ולצלי. <BR>
Sizzling|sizzle	לוהט, רוחש<BR>(פ') לתסוס, ללהוט
Skate|ray|skate	תריסנית (דג מאכל)
Skeins|skein|skeins	פקעת חוטים, סבך, בליל
Skewer|skewer|skewers	שיפוד מעץ<BR>(פ') לשפד
Skillet|skillet	מחבת
T-Boen Steak|t bone|tbone	אומצה הכוללת עצם במרכזה, כאשר מצד אחד יש סירלוין וןמהצד האחר אנטריקוט
Skim|skim	רזה בהקשר של חלב (דל שומן)<BR>(פ') להסיר קרום (מחלב\\מרק צח וכדומה)
Skimmer	כף מיוחדת להסרת קרום ממרקים\\חלב וכדומה
Skin|skin	עור, מעטה חיצוני<BR>(פ') לפשוט עור, לקלף, להסיר
Skinless|skin less|skinless	שהוסר ממנו עורו, ללא קליפה
Skordalia|skordalia	דיפ יווני על בסיס פירה תפו"א, מיץ לימון, חומץ, פטרוזיליה, שום ושמן זית
Slammers|Slammer	קוקטייל אלכוהולי חזק במיוחד (לרב עירוב מספר סוגי אלכוהול היוצר השפעה מהירה ו"מפילה" יותר)
Slices|slice|slices	פרוסות, נתחים, חתיכות, פלחים<BR>(פ') לפרוס, לבצוע, לפלח
Slicing|slicing	(פ') לחתוך לפרוסות\\פלחים, לפרוס, לבצוע
Sling|slings	משקה אלכוהולי על בסיס ג'ין\\וודקה\\וויסקי, מיץ לימון ואבקת סוכר
Slivered|Sliver	שבבים של....<BR>(פ') ליצור שבבים
Slivers|sliver|slivers	שבבים, "קיסמים"
Slivovitz|slivovitz	ברנדי שזיפים מריר יבש, נטול צבע
Sloe|sloes	שזיף בר
Sloe gin|sloe gin	ג'ין משזיפי בר
Sloppy Joe|SloppyJoe	סנדביץ' בלחמניית המבורגר - "האמצע" מכיל תערובת של בשר בקר טחון מבושל, בצלים, פלפלים ירוקים ורוטב עגבניות חריף.
Slug|slag	חלזון "חסר בית" (ללא קונכיה)
Slumgullion|slumgullion	מונח סלנג למנות המבוססות על שאריות
Slump|slamp	קינוח מיושן שמקורו בניו אינגלנד - פירות, לרב תותי יער, ומעליהם בצק פריך אפויים
Slurry|Slury|slurri	תרחיף, תערובת דלילה
