##name	EU Terminology
##sourceLang	English
##targetLang	Turkish
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1254
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1254
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2002/10/26, 10:16
##author	SMB
##email	smbulut@hotmail.com
##description	
##browsingEnabled	
##bgl_creationTime	2002/10/26, 10:15
8EAF66FD.bmp	File: 8EAF66FD.bmp
occupational standards	meslek standartları
office	büro, işyeri, bölüm, daire
office of President (eec146(2))|office of President (eec146	Başkanlık makamı
official	resmi
official authorities	resmi makamlar
official correspondence	resmi yazışma
Official Journal of the European Communities(EUR-OP, OPOCE)|Official Journal of the European Communities	Avrupa Toplulukları Resmi Gazetesi
Official Journal of the European Communities(OPOCE)|Official Journal of the European Communities	Avrupa Toplulukları Resmi Gazetesi
oil	petrol
Oil Market Regulatory Authority	Petrol Piyasası Düzenleyici Kurumu
oil/gas transmission	petrol/gaz taşınması
Old Approach Directives	Klasik Yaklaşım Direktifleri
on a non-discriminatory basis	ayrımcı olmayan bir temelde
on a reciprocal basis	karşılıklılık temelinde
on an equitable basis	hakkaniyet temelinde
on behalf of the Governments of the Member States	Üye devletlerin hükümetleri adına
on grounds of urgency	acil niteliği nedeniyle
on its behalf	kendi adına
on its own initiative	kendiliğinden
One Stop Shop	Bir Hizmet Sürecinin Tümünün tek Bir Müessese Tarafınca üstlenilmesi
open session	kamuya açık oturum
opened quota	açık kota
operating accounts	işletme hesapları, faaliyet hesabı
operating license	işletme ruhsatı
operating right	işletme hakkı
operation	işlem, işletim,faaliyet
opinion	görüş
order	emir, talimat
ordinary partnership	adi ortaklık
organic waste	organik atık
organise	örgütlemek
organised crime	örgütlü suç
organism	organizma
orientation price	yönelim fiyatı
origin	menşe, köken
original acts	esas belgeler
Outward Processing Regime	Hariçte İşleme rejimi
overall balance of payments (eec104)|overall balance of payments	genel ödemeler dengesi
own	kendi,öz
own resources (eec201(1))|own resources (eec201	öz kaynaklar
ownership	mülkiyet
package tour	paket tur
paid holiday scheme (eec120)|paid holiday scheme	ücretli izin
paid-up capital	ödenmiş sermaye
paper	gazete,araştırma, etüd,kitap
paragraph	fıkra
parent company (eec Annex III)|parent company	ana firma
parliament	parlamento
Partial European Agreements	Avrupa Kısmi Anlaşmaları
partial replacement	kısmi yenileme
partnership	ortaklık
party	parti, taraf
pasture	mera
patent	patent
paying agency	ödeme kuruluşu
payment	ödeme
payment of expenditures	giderlerin ödenmesi
payment order	ödeme emri
pecuniary obligation (eec192)|pecuniary obligation	parasal yükümlülük
pecuniary reparation	para ile tazmin
penal provision	cezai hükum
penal sanction	cezai yaptırım
penalty (eec172)|penalty	ceza, yaptırım
people	halk
perfect competition	tam rekabet
perform	ifa etmek
performance audit	performans denetimi
performance reserve	performans rezervi
period	dönem
periodical settlement	periyodik ödeme
periodical settlement (eec AnnexIII)|periodical settlement	periyodik ödeme
permanent	daimi
Permanent Representatives Committee (COREPER)|Permanent Representatives Committee	Daimi Temsilciler Komitesi
permissible noise level	izin verilebilir gürültü düzeyi
permit	izin
person	kişi, birey
personal liability (eec215)|personal liability	kişisel sorumluluk
personal protective equipment	kişisel korunma ekipmanları
pharmaceutical	farmasötik
pharmaceutical preparations	farmasötik müstahzarlar
pharmaceutical professions (eec57(2))|pharmaceutical professions (eec57	eczacılık meslekleri
Phytosanitary	Bitki Sağlığı
pirated goods	korsan mal
pit	maden ocağı, kuyu
place	yer
place of origin (60(1))|place of origin (60	menşe yeri
placing on the market	piyasaya arz
plan	plan
plant	tesis, fabrika,bitki
plant health	bitki sağlığı
plant species	bitki türü
plenipotentiary	tam yetkili temsilci
Plurilateral agreements	Çoklu anlaşmalar
point	nokta, kapı
policy	politika
pollute	kirletmek
polluter pays principle (PPP)|polluter pays principle	kirleten öder prensibi
pollution prevention	kirliliğin önlenmesi
population	nüfus
position	durum, pozisyon,konum
power	güç, yetki
power to take decisions (eec145)|power to take decisions	karar alma yetkisi
powers which are conferred upon it by this Treaty	iş bu antlaşma gereği verilen yetkiler
practice	uygulama, adet, usul,eylem
pre-accession strategy	katılım öncesi stratejisi
pre-court settlement body	mahkeme öncesi çözüm organı
pre-court settlement body (arbitration)|pre-court settlement body	mahkeme öncesi çözüm organı
precaution	ihtiyat
predatory pricing	yıkıcı fiyat uygulaması
preference	tercih
preferential companies	ayrıcalıklı şirketler
preferential regime	tercihli rejim
preferential trade	tercihli ticaret
prejudice	halel, zarar
prejudiced interests (eaec83)|prejudiced interests	zarar gören çıkarlar
preliminary	ön
Preliminary Authorisation	Ön müsaade
Preliminary Authorization	Ön izin (topluluk mevzuatından süreli muafiyet)
preliminary ruling	ön karar
preliminary rulings of the Court	ön karar
premium	prim ; ek ücret
prenotified acceptance system (Rotterdam Convention)|prenotified acceptance system	ön bildirimli kabul sistemi (Rotterdam Sözleşmesi)
president	başkan
President of the European Parliament	Avrupa Parlamentosu Başkanı
price	fiyat
price differences	fiyat farkları
price fixing	fiyat tespiti
price index	fiyat endeksi
prima facie (eaec16(2))|prima facie (eaec16	ilk bakışta, ilk intıba üzerine, vehleten
Primary Law	Birincil Hukuku
principle	prensip, ilke
principle of progressivity	aşamalılık ilkesi
prior approval	ön onay
prior authorization	ön izin
priority regions for development	kalkınmada öncelikli yöreler
Private Consumption Tax	Özel Tüketim Vergisi
private property	özel mülkiyet
privilege	imtiyaz
privileged position (ecsc66(2)|privileged position (ecsc66	ayrıcalıklı konum
procedure	usul,süreç
procedure for revising	gözden geçirme usülü
procedure for revising (eec44(3))|procedure for revising (eec44	gözden geçirme usülü
proceedings	duruşma, dava; müzakere; zabıtname, raporlar,tasarruf,hüküm
proceedings in which a regulation is in issue (eec184)|proceedings in which a regulation is in issue	tüzüğün geçersizliğinin ileri sürüldüğü duruşma
proceedings of the Parliament	parlamentonun tasarrufları
process	ameliye, işlem,süreç
processed agricultural goods	işlenmiş tarım ürünleri
product	ürün
product liability	ürün sorumluluğu
product safety	ürün güvenliği
production restitution	üretim iadesi
productivity	verimlilik
products of the soil	toprak ürünleri
products of the soil (eec38(1))|products of the soil (eec38	toprak ürünleri
profession	meslek
professional	mesleki
professional disease list	mesleki hastalıklar listesi
professional occupation (eec193)|professional occupation	serbest meslek
professional secrecy (eec214)|professional secrecy	meslek sırrı
profit	kar
profit and loss account	kar zarar hesabı
profit-making company	kar amacı güden şirket
profit-making company (firm)|profit-making company	kar gayesi güden şirket
profitability	karlılık
programme	program
programming	programlama
progressive expansion of the trade	ticaretin giderek artması
progressive expansion of the trade (eec44(2))|progressive expansion of the trade (eec44	ticaretin giderek artması
prompt alarm systems	hızlı alarm sistemleri
proof of preferential origin	tercihli menşe kanıtı
property	mülkiyet
proposal	tasarı
propose	önermek
proposed agreement	önerilen anlaşma
proposed agreement (eaec103)|proposed agreement	önerilen anlaşma
proposed measures	öngörülen önlemler
proposed measures (eec93(3))|proposed measures (eec93	öngörülen önlemler
prosper	refaha ermek, başarmak
prosperity of people	halkın refahı
protection	koruma,savunma
protective measures	koruyucu önlemler
protective measures (eec73(1,1))|protective measures (eec73	koruyucu önlemler
protocol	protokol
provide	temin etmek, sağlamak
provision	hüküm
provisions laid down by regulation	tüzükle düzenlenen hükümler
provisions of the Act	kanun hükümleri
psychotropic substances	psikotrop maddeler
public	kamu
public awareness	kamu bilinci
public debt accountant	kamu borçlarından sorumlu sayman
public expenditure	kamu harcamaları
Public Financial Management Information System (PFMIS)|Public Financial Management Information System	Kamu Mali Yönetimi Bilişim Sistemi (KMYBS)
public health	genel sağlık
public interest	kamu yararı
public morality	genel ahlak
public offerings	halka arz
public opinion	Kamuoyu
public order	kamu düzeni
public participation	halkın katılımı
public policy	kamu düzeni
public procurement	kamu alımları
public procurement law	kamu ihale kanunu
public sector	kamu sektörü
public security	kamu güvenliği
public service	kamu hizmeti
public service concession agreements	kamu hizmeti imtiyaz anlaşmaları
public undertaking	kamu işletmesi
publicity	tanıtım, ilan
purchase	satın almak
purchase price	satın alma fiyatı
purchasing transaction	satın alma işlemi
purpose	amaç
purpose of association	ortaklığın gayesi
put	koymak
qualification	nitelik
qualified majority	nitelikli çoğunluk
qualifying period	girme süresi
qualifying period (49 b)|qualifying period	girme süresi
quality	nitelik, kalite
quality assurance equipment	kalite güvence ekipmanı
quorum	toplantı karar yeter sayısı, nisap
quota	kota
quota increase	kotaların artırılması
quota restrictions	kota kısıtlamaları
rate	oran
ratification	onay
raw materials	hammadde
readmission	geri kabul
real estate investment trust	gayrimenkul yatırım ortaklığı
rearing animals	yetiştirme amaçlı hayvanlar
reason	neden, gerekçe
reasoned decision	gerekçeli karar
reasoned submissions	gerekçeli mütalaa
receiving environment	alıcı ortam
recognise	tanımak
Recognising ...	kabul ederek,bilincinde olarak (Uluslararası sözleşmelerde)
recognition of professional qualifications	mesleki niteliklerin tanınması
recommendation	tavsiye
reconcile	uzlaştırmak
reconciliation	uzlaştırma
record	kayıt
record of the proceedings	hükümlerin kaydı
rectify	düzeltmek, tashih etmek
recyclable waste	geri kazanılabilir atık
recycling and disposing of wastes	atıkların geri dönüşümü ve imha edilmesi
redress	ödeme,tazminat
reduction	azaltma, indirim
reduction of customs duties	gümrük vergilerinin indirilmesi
reference price	referans (gösterge) fiyatı
referring to the Council Act of .. (in Convention)|referring to the Council Act of ..	... sayılı ve tarihli Konsey tasarrufuna atıfta bulunarak
refine	arıtmak, inceltmek
refinery	rafineri
refugee	mülteci
refund	para iadesi
refund of money	para iadesi
regard	nazar, itibar;saygı
regime	rejim
region	bölge
regional discrepancies	bölgesel farklılıklar
regional disparities	bölgesel farklılıklar
regional or local authorities	bölgesel ya da yerel yönetimler
regional or local authorities (eec68(3))|regional or local authorities (eec68	bölgesel ya da yerel yönetimler
regional union	bölgesel birlik
register	kaydetmek
registered capital	kayıtlı sermaye
registered office	tüzel merkez
registered office (eec58)|registered office	tüzel merkez
regulation	tüzük
regulation declared void	iptal edilen tüzük
regulation declared void (eec174(2))|regulation declared void (eec174	iptal edilen tüzük
Regulation on Environmental Impact Assessment	Çevresel Etki Değerlendirmesi Tüzüğü
Regulation on Noise Control	Gürültü Kontrol Tüzüğü
relation	ilişki
relevant market for the contract products	sözleşme konusu ürünler pazarı
relief from (free of) customs duties	gümrük vergilerinden muafiyet
remain	kalmak
remediation of water quality	su kalitesinin iyileştirilmesi
remedy	çare,deva, ilaç
remission	affetme, bağışlama, hafifletme, indirim
remuneration	ücret
renew	yenilemek
renewable energy resources	yenilenebilir enerji kaynakları
renovation	yenileme
repair	onarmak
repair charges	onarım masrafları
repair charges (Annex III)|repair charges	onarım masrafları, tamir giderleri
repair service	onarım hizmeti
reparation	onarım; tazminat
repayment	iade, geri ödeme
repayment of internal taxation	iç vergi iadesi
repayment of taxation	vergi iadesi
repayment schedule	geri ödeme planı
repeal	yürürlükten kaldırmak
replace	yerine başkasını koymak, ikame etmek
replacement of goods	malın yenisi ile değiştirme
replacing product	ikame ürün
report	rapor
represent	temsil etmek
required majority (eec8(4)|required majority (eec8	gerekli çoğunluk
required qualifications	gerekli nitelikler
requirement	ihtiyaç,şart
research	araştırma
Research and Development (R&D) Policy	Araştırma -Geliştirme Politikası
residence	ikametgah, konut
residence permit	oturma izni
resident	mukim, ikamet eden
residue	artık,kalıntı
residues	geri dönüşümsüz atıkların güvenli bertaraf edilmesi
resign	istifa etmek, çekilmek
resolution	ilke kararı
resource	kaynak
responsibility	sorumluluk
restitution	ihracat iadesi
restriction	kısıtlama
restructure	yeniden yapılandırmak
restructuring	yeniden yapılandırma
retention of legal personality (eec220)|retention of legal personality	tüzel kişiliğin korunması
revenue-producing monopoly (eec90(2))|revenue-producing monopoly (eec90	mali tekel
review	gözden geçirmek
review of financial statements	mali bildirimlerin incelenmesi
revise	revize etmek, gözden geçirmek
revolve	döndürmek
revolving fund	döner sermaye
right	hak
right of access	girme hakkı, katılma hakkı; erişim hakkı
right of association	dernek kurma hakkı
right of association (118(1))|right of association (118	dernek kurma hakkı
right of establishment	yerleşme hakkı
right to benefit	yararlanma hakkı
right to benefit (51(a))|right to benefit (51	yararlanma hakkı
risk assessment systems	risk değerlendirme sistemleri
risk audit	risk denetimi
risk capital	risk sermayesi
road vehicles	karayolu taşıtları
royalties	telif hakkı ödemeleri
royalty	telif ücreti
rule	kural
rules governing the system of property ownership (eec222)|rules governing the system of property ownership	mülkiyet rejimi
rules of civil procedure	medeni usul hukuku kuralları
rules of civil procedure (eec192(2))|rules of civil procedure (eec192	medeni usul hukuku kuralları
rules of procedure	usul kuralları
rules of procedure (eec140(4))|rules of procedure (eec140	usul kuralları
rules on competition	rekabet kuralları
ruling	hüküm, karar
rural	kırsal
rural development	kırsal kalkınma
rural population	kırsal nüfus
safe disposal of nonrecoverable waste	geri dönüşümsüz atıkların güvenli bertaraf edilmesi
safe disposal of nonrecoverable waste, residues	geri dönüşümsüz atıkların güvenli bertaraf edilmesi
safe product	güvenli ürün
safeguard	korunma
safeguard the interests of the Community (ecsc37)|safeguard the interests of the Community	Topluluk çıkarlarının korunması
safeguards	korunma önlemleri
safety	güvenlik, emniyet
safety controls on imports	ithalattaki güvenlik kontrolleri
sale	satış
sales campaign	kampanyalı satışlar
sales on credit	taksitli satışlar
sanction	yaptırım
save	den başka, ancak, yalnız
save as otherwise provided	aksine hüküm olmadıkça
save for the exceptions or derogations provided for (eec8(7))|save for the exceptions or derogations provided for (eec8	öngörülen istisnalar ya da sapmalar saklı kalmak kaydıyla
Schengen Agreement	Schengen Anlaşması
school	okul
science	bilim
scope	alan, kapsam
scope of a measure (eec109(1))|scope of a measure (eec109	önlemin kapsamı
scope of application	uygulama alanı
scope of the licence(19)|scope of the licence	ruhsatın kapsamı
screen	eleme, tarama
screening procedures	tarama işlemi
sea	deniz
sea pollution	deniz kirliliği
seat	mevki; üyelik; koltuk(parlamento)
second	ikinci
Secondary Law	İkincil Hukuku
secrecy	gizlilik
secret advertisement	gizli reklam
Secretariat General of the Council (of the European Union)|Secretariat General of the Council	AB Konseyi Genel Sekreterliği
sector	sektör, bölge, mıntıka
sectoral guidelines	sektörel kılavuz
Sectoral Policies	Sektörel Politikalar
securities	menkul kıymetler
securities investments associations	menkul kıymetler yatırım ortaklıkları
securities investments funds	menkul kıymetler yatırım fonları
security	güvenlik
security information form	güvenlik bilgi formu
security measures	güvenlik önlemleri
security measures(eaec24(1))|security measures(eaec24	güvenlik önlemleri
seed capital	çekirdek/başlangıç sermayesi
seize	zapt etmek, ele geçirmek
seizure	zaptetme
sell	satmak
semi-finished goods (29)|semi-finished goods	yarı nihai mal
semi-fiscal transaction	yarı mali işlem
Semiconductor products	Yarı iletken maddeler
sensitive products	hassas ürünler
serious misconduct (160)|serious misconduct	vazifeyi suiistimal
service	hizmet
session	oturum,toplantı
Session of the Council of Ministers	Bakanlar Konseyi Toplantısı
set-off	karşılık olarak koymak
set-off period	mahsup dönemi
settlement	yerleşim; tanzim; ödeme,çözüm
settlement of disputes	anlaşmazlıkların halli
settlement of payments	ödeme için onay verme
shanty settlements	kaçak yapılaşma
should the Commission find	Komisyon ... saptayabilirse
should the infringement be repeated	cürümün yinelenmesi durumunda
simple majority	basit çoğunluk
single administrative document	tek idari belge
Single European Act (SEA)|Single European Act	Avrupa Tek Senedi
sluicegate price	set fiyatı
small	küçük
small and medium size enterprises (SMEs)|small and medium size enterprises	küçük ve orta ölçekli işletmeler (KOBİ)
SME Action Plan Framework	KOBİ Eylem Planı Çerçevesi
SME Finance Facility	KOBİ Finansman İmkanı
smuggle	kaçakçılık yapmak
smuggling	kaçakçılık
social	sosyal
social insurances	sosyal sigortalar
social policy	sosyal politika
social security	sosyal güvenlik
soil	Toprak
sole article	tek madde
sources of finance	finansman kaynakları
South East European Stability Pact	Güney Doğu Avrupa İstikrar Paktı
space	uzay
special	özel
special and differential treatment	özel ve ayrıcalıklı muamele
Special Council of Ministers	Bakanlar Özel Konseyi
special provisions	özel hükümler
specialisation agreement	ihtisaslaşma anlaşması
specialised agency	uzmanlaşmış kurum
specialised agency (eec229)|specialised agency	uzmanlaşmış kurum
specialised courts	ihtisas mahkemeleri
Specially Protected Environment Areas	özel çevre koruma alanı
spend	harcamak
spirit drinks	alkollü içecekler
stamp tax	damga vergisi
standard	standart
standardisation	standardizasyon
Standing Committee for Economic and Commercial Cooperation	Ekonomik ve Ticari İşbirliği Daimi Komitesi
state	devlet
state aids	devlet yardımları
State Auditing Board of the Presidency	Devlet Denetleme Kurulu
state monopolies	devlet tekeli
state monopolies of commercial character	ticari nitelikli devlet tekelleri
state resources	devlet kaynakları
state subsidies	devlet sübvansiyonu
statement	beyan
statement of general compliance	genel uygunluk bildirimi
status of a body (eec177(1,c)|status of a body (eec177	bir kurumun statüsü
steel	çelik
stockfarming	besicilik
stockfarming (38(1))|stockfarming (38	besicilik
storage charges (Annex III)|storage charges	depolama masrafları
strategy	strateji
Structural Funds	Yapısal Fonlar
structural harmonisation	yapısal uyumlaştırma
structure	yapı
sub-heading	alt-pozisyon
subcommittees	alt komiteler
subcontracting	alt sözleşme, taşeronluk
subject to the conditions	öngörülen koşullara bağlı olarak
submit	teslim etmek, tevdi etmek
subparagraph	bent
subsidiarity principle	yetki ikamesi ilkesi
subsidiary	şube
subsidised imports	subvansyonlu ithalat
substance	madde; öz
such as	gibi
sufficient time	yeterli süre
summit	zirve
summit meetings	zirve toplantıları
superstructure	üstyapı
supervision	denetleme,denetim,murakabe, teftiş, gözetim
supervision of manufacture	imalat denetimi
supervision of manufacture (annex III)|supervision of manufacture	imalat denetimi
supplement	eklemek, ilave etmek
supplementary obligations	ek yükümlülükler
supplementary obligations (eec86(d)|supplementary obligations (eec86	ek yükümlülükler
supply	sağlamak, temin etmek, tedarik etmek
supply contract	tedarik sözleşmesi
supply contract (53(2))|supply contract (53	tedarik sözleşmesi
supply of labour	iş gücü arzı
suppression of terrorism	terörizmin durdurulması
supra-national	uluslarüstü
Supreme Auditing Board of the Prime Ministry	Başbakanlık Yüksek Denetleme Kurulu
surface waters	yüzeysel sular
surveillance	gözetme, nezaret, denetleme, teftiş
suspend	askıya almak
suspension	askıya alma
suspicious financial transactions	şüpheli mali işlemler
sustainability	sürdürebilirlik
sustainable development	sürdürülebilir kalkınma
system	sistem
take	almak
talk	konuşma, görüşme
target price	hedef fiyat
tariff	tarife
tariff barriers	tarife engelleri
tariff concessions	tarife tavizleri
tariff description	tarifenin tanımı
tariff headings	tarife pozisyonları
tariff headings (eec19(5))|tariff headings (eec19	tarife pozisyonları
tariff quotas	tarife kotaları
task	görev
task of inspection	teftiş görevi
task of inspection (ecsc86(4)|task of inspection (ecsc86	teftiş görevi
tasks assigned to it by the Commission	Komisyon tarafından kendisine verilen görevler
tax	vergi
tax controller	vergi kontrolörü
tax exemption	vergi muafiyeti
tax expenditure	vergi gideri
tax expenditures	vergi gideri
taxation	vergilendirme
technical	teknik
technical regulation	teknik düzenleme
technical specification	teknik şartname
telecommunication	telekomünikasyon
telephone switchboard capacity	telefon santralı kapasitesi
temporary	geçici
temporary admission	geçici kabul
temporary export	geçici ihracat
tender	İhale, teklif
tendering procedure	ihale usulü
term	müddet, süre, vade, devre
term of office	görev süresi
term of office (eec158)|term of office	görev süresi
term of the license	ruhsat süresi
terms of reference	çalışma şartnamesi
territory	toprak,ülke,bölge
territory of the Member States of the European Union	Avrupa Birliği üye devletlerinin alanı
terror	terör
testing, certification and inspection institutions	test, belgelendirme ve muayene kuruluşları
text	metin
textiles	tekstil ürünleri
The European Court of Auditors	Avrupa Sayıştayı
the initiative of ...(Member State)|the initiative of ...	.... devletinin girişimi
the interpretation in dispute	tartışmalı yorum
the licence shall be deemed void	ruhsat geçersiz sayılır
the licence shall be deemed void (eaec22)|the licence shall be deemed void	ruhsat geçersiz sayılır
the provision of the Articles 9 to 15	9 ila 15. Maddelerin hükümleri
the purpose of this directive is to..	bu direktifin amacı ..
the right to move freely	serbestçe yer değiştirme hakkı
the right to move freely (48(3-b))|the right to move freely (48	serbestçe yer değiştirme hakkı
the seat of the institutions	kurumların merkezi
the seat of the institutions (eec216)|the seat of the institutions	kurumların merkezi
The Sixth Research and Technological Development Framework Programme	Altıncı Araştırma ve Teknoloji Geliştirme Çerçeve Programı
the Staff Regulations of Officials of the European Communities	Avrupa Toplulukları Görevlileri Personel Tüzüğü
The text of the Agreement is attached to this Regulation	Antlaşmanın metni bu tüzüğe eklidir.
the votes cast	kullanılan oylar
thermal	termik
thermal power plant	termik santral
they shall apply these provisions from ...	bu hükümleri .. den itibaren uygularlar
they shall forthwith inform the Commission thereof	Komisyonu durumdan derhal haberdar eder
third party proceedings	üçüncü şahısların açtığı dava
this decision is addressed to the Member States	bu karar üye devletlere hitap eder
this decision shall take effect on	bu karar ... tarihinden itibaren geçerlidir.
This Regulation shall be binding in its entirety and directly applicable in the Member	Bu Tüzük üye devletlerde bütünüyle bağlayıcıdır ve doğrudan uygulanır.
This Regulation shall be binding in its entirety and directly applicable in the Member States	Bu Tüzük üye devletlerde bütünüyle bağlayıcıdır ve doğrudan uygulanır.
This Regulation shall enter into force on	Bu tüzük ... tarihinde yürürlüğe girer.
threshold price	eşik fiyatı
threshold value	eşik değer
time	zaman, süre
time-share holiday contract	devreli tatil sözleşmesi
TIR (International Road Transport)|TIR	Uluslararası Karayolu Taşımacılığı (TIR)
tissue	doku
tissue-typing reagents	doku tipleyici ayıraçlar
Title	başlık
title-deed	tapu
title deed- cadastre system	tapu-kadastro sistemi
to abolish customs duties	gümrük vergilerini kaldırmak
to abstain from any measure	her türlü tedbirden kaçınmak
to accord advantages	avantaj tanımak
to agree to a right	bir hakkı onamak
to alter in accordance with the provisions set out below (eec8(1))|to alter in accordance with the provisions set out below (eec8	aşağıda yer alan hükümlere uygun olarak değiştirmek
to alter the time limit (ecsc42)|to alter the time limit	süreyi değiştirmek
to amend provisions	hükümleri değiştirmek
to apply (make) a reduction	bir indirim uygulamak(yapmak)
to apply (make) a reduction (eec14(1,2,b))|to apply (make) a reduction (eec14	bir indirim uygulamak(yapmak)
to apply in its entirety (eec23(3))|to apply in its entirety (eec23	bütünüyle uygulamak
to assign tasks to the Commission	Komisyonu görevlendirmek
to attain its objectives	amaçlarına ulaşmak
to be a party to legal proceedings (eec211)|to be a party to legal proceedings	davaya taraf olmak
to be conditional upon	koşuluna bağlıdır
to be responsible for	sorumlu olmak
to be such as to	nitelikte olmak
to bring an action (before the Court) (eec170(2))|to bring an action (before the Court) (eec170	dava açmak
to bring an action for an infringement (eec170(2))|to bring an action for an infringement (eec170	bir ihlal üstüne dava açmak
to bring offers of employment into touch with applications for employment	iş gücü arzı ve talebini bir araya getirmek
to bring the infringement to an end (eec89(2))|to bring the infringement to an end (eec89	ihlale son vermek
to carry out continuous monitoring (35)|to carry out continuous monitoring	sürekli bir denetimin sağlanması
to cause a damage	zarar vermek
to cause a disadvantage	bir zarara sebep olmak
to choose by lot (eec167)|to choose by lot	kura yoluyla seçmek
to claim a compensation (eaec27(3))|to claim a compensation (eaec27	tazminat istemek
to conclude an agreement	anlaşma yapmak
to conduct negotiations	müzakereleri yürütmek
to confer powers	yetki vermek
to confer rights	hak vermek
to confer the responsibilities	sorumluluk vermek
to confine oneself to making a recommendation	bir tavsiye oluşturmakla sınırlı olmak
to constitute the committee	komiteyi oluşturmak
to declare a concentration unlawful	bir yoğunlaşmanın hukuka aykırılığını saptamak
to defer the decision (ecsc90(1))|to defer the decision (ecsc90	kararı ertelemek
to deliver opinion (236)|to deliver opinion	görüş bildirmek
to determine by negotiations (eec20(1))|to determine by negotiations (eec20	müzakere yolu ile saptamak
to direct research towards sectors	araştırmaları sektörlere yönlendirmek
to dispose of property	malları satmak
to dispose of the production (59)|to dispose of the production	üretimi sürmek; üretileni imha etmek, elden çıkarmak
to draw up a treaty	bir antlaşma kaleme almak
to encounter difficulties (26)|to encounter difficulties	güçlüklerle karşılaşmak
to enter into negotiations (220)|to enter into negotiations	müzakerelere başlamak
to entrust a task	bir görev vermek
to evade the obligations (eaec104)|to evade the obligations	yükümlülüklerden kaçınmak
to evaluate all relevant factors	bütün ilgili faktörleri değerlendirmek
to fail to act (eec175)|to fail to act	harekete geçememek
to fail to fulfil an obligation (eec169)|to fail to fulfil an obligation	bir yükümlülüğü yerine getirememek
to form associations	ortaklıklar oluşturmak
to fulfil a condition (eec160)|to fulfil a condition	bir koşulu yerine getirmek
to give a ruling	karar vermek(mahkemelerde)
to give judgment (eec177(2))|to give judgment (eec177	bir hüküm vermek
to grant a remission	bir indirim uygulamak
to grant a repayment	geri ödeme yapmak
to grant a repayment (eec98)|to grant a repayment	geri ödeme yapmak
to grant loans and to give guarantees (eec130)|to grant loans and to give guarantees	borç ve garantiler vermek
to have a binding force (eec189(5))|to have a binding force (eec189	bağlayıcı olmak
to have an infringement established	ihlalin saptanması
to have financial autonomy (54(1))|to have financial autonomy (54	mali özerkliğe sahip olmak
to have jurisdiction in disputes (eec178)|to have jurisdiction in disputes	uyuşmazlıklara bakma yetkisi
to have jurisdiction to give preliminary rulings	ön yargılama yoluyla karar vermeye yetkili olmak
to hear on oath	yeminli ifade almak
to impose a pecuniary obligation	parasal bir yükümlülük yüklemek
to include a chapter on	bir bölümü ... konusuna ayırmak
to initiate the procedure (eec93(2,3))|to initiate the procedure (eec93	süreci başlatmak
to institute proceedings (ecsc37)|to institute proceedings	bir davayı Divana getirmek
to investigate a case ((89(1))|to investigate a case ((89	bir durumu soruşturmak, bir davayı soruşturmak
to involve an advantage	bir avantaj içermek
to issue a loan (68(3))|to issue a loan (68	borç vermek
to issue securities	menkul kıymet ihraç etmek
to make a regulation	bir tüzük çıkarmak
to make a regulation (eec189(1))|to make a regulation (eec189	bir tüzük çıkarmak
to make applicable (eaec48)|to make applicable	uygulanabilir kılmak
to make good a damage (eec92(b))|to make good a damage (eec92	zararı gidermek
to obtain redress	bir tazminat almak
to perform a task	bir görevi yerine getirmek
to possess a right of veto	veto hakkına sahip olmak
to proceed by common action (eec116(1))|to proceed by common action (eec116	ortak bir davranış izlemek
to promote relations	ilişkileri geliştirmek
to provide non-repayable aid	geri ödemesiz bir yardım sağlamak
to put into effect	uygulamaya koymak
to put into effect (eec93(3))|to put into effect (eec93	uygulamaya koymak
to put into force	yürürlüğe koymak
to record an infringement	yasa ihlalinin kaydı
to rectify a decision	bir kararı düzeltmek
to rectify a decision (eec44(4))|to rectify a decision (eec44	bir kararı düzeltmek
to regard a policy	bir politikayı değerlendirmek
to remain in office	görevde kalmak
to remain in office (eec159(3))|to remain in office (eec159	görevde kalmak
to remedy a situation	bir durumu düzeltmek
to renew agreements	anlaşmaları yenilemek
to renew agreements (eaec104(1))|to renew agreements (eaec104	anlaşmaları yenilemek
to repeal provisions	hükümleri feshetmek
to resign as a body	toplu olarak istifa etmek
to result a procedure in a decision	sürecin bir kararla sonuçlandırılması
to review the legality of acts of the Council (173(1))|to review the legality of acts of the Council (173	Konsey tasarruflarının hukuka uygunluğunu denetlemek
to revoke an authorization (ecsc65(2))|to revoke an authorization (ecsc65	bir izni yürürlükten kaldırmak
to run only from this date (244(3))|to run only from this date (244	bu tarihten itibaren işlemeye başlar
to safeguard the continuity of employment (ecsc2)|to safeguard the continuity of employment	istihdamın devamlılığını korumak
to safeguard the interests of the Community (ecsc37)|to safeguard the interests of the Community	Topluluk çıkarlarının korunması
to seek instructions (157(2))|to seek instructions (157	talimat almak
to set out principles (131(3))|to set out principles (131	ilkeleri belirlemek
to set up a committee ((105(1,2))|to set up a committee ((105	komite kurmak
to sit in plenary session	Genel Kurul halinde toplanmak
to subject the correspondence to censorship	haberleşmeyi sansüre tabi tutmak
