##name	Bodybuilding Jargon
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##author	Rossella Pruneti.
##description	The jargon bodybuilders use to describe their exercises, their equipments, their bodies and their feelings while working out and competing on the stages.
##browsingEnabled	
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_creationTime	2000/09/30, 12:04
##bgl_middleUpdated	2000/11/04, 21:57
'oids|'roids|gear|juice|sauce|steroids	short for <a href="bword://steroids">steroids</A> .
shredded	adjective to describe the highest level of muscle <a href="bword://separation">separation</A> . Occurs when the bodybuilder has quality muscle with <a href="bword://cross-striations">cross-striations</A> and no <a href="bword://subcutaneous">subcutaneous</A> <a href="bword://water retention">water</A> or <a href="bword://fat">fat</A> .
shrugs	exercise for the <a href="bword://traps">traps</A>.<HR>Directions: standing upright while holding a weight in both hands - take a shoulder-width grip -, lift the shoulders up and down while the arms remain hanging downwards. <BR>
side chest	a compulsory pose.<HR>The competitor may choose either side for this pose, in order to display the &quotbetter" arm. He will stand with his left or right side towards the judges and will bend the arm nearest the judges to a right-angle position, with the fist clenched and, with the other hand, will grasp the wrist. The leg nearest the judges will be bent at the knee and will rest on the toes. The competitor will then expand the chest and by upward pressure of the front bent arm and contract the biceps as much as possible. He will also contract the thigh muscles, in particular, the biceps femoris group, and by downward pressure on his toes, will display the contracted calf muscles. <BR><BR><I>For pics and more see</I> <a href="http://www.ifbb.com">IFBB website</A> .
side crunch	exercise for the serratus.<HR>Directions: on the back extension bench, lying on the side of your hips, one on top of the other, under the ankle pad. Raise your torso sideways to contract your serratus as strongly as possible. Lower yourself to a level in line with your legs.
side triceps	a compulsory pose.<BR>Directions: The competitor may choose either side for this pose so as to show the &quotbetter" arm. He will stand with his left or right side towards the judges and will place both arms behind his back, either linking his fingers or grasping the front arm by the wrist with his rear hand. The leg nearest the judges will be bent at the knee and will rest on the toes. The competitor will exert pressure against his front arm, thereby causing the triceps muscle to contract. He will also raise the chest and contract the abdominal muscles as well as the thigh and calf muscles. <BR><BR><I>For pics and more see</I> <a href="http://www.ifbb.com">IFBB website</A> .
simmetry	one of the criteria by which bodybuilds are evaluated by judges. It determines if bodybuilders have ignored any part of their physique during training. If they have, points are deducted.
simmetry round	one of the rounds in a bodybuilding competition when <a href="bword://simmetry">simmetry</A> is evaluated by judges. Competitors stand in groups of two or three on stage in the <a href="bword://semi-relaxed position">semi-relaxed position</A> .<BR>Typically, this consists of a competitors heels together, toes pointed out at a forty-five degree angle, and lats semi-flared. Every competitor has their own way of standing relaxed, but in reality it is semi-flexed. Every muscle should be tight on stage. The competitors are viewed from the front, both sides, and the rear.
sissy squats	exercise for the <a href="bword://quads">quads</A>.<HR>Directions: keep your feet and knees close together throughout the entire movement. Hold onto a machine, bench, or vertical bar for balance. While keeping your body straight, leaning back at a 30- to 70-degree angle, lower your body over your feet and come back up to near lockout.
six-pack	jargon for abdominals, specially when the midsection is chiseled.<BR>See also <a href="bword://abs">abs</A> .
skull crusher	an exercise for <a href="bword://triceps">triceps</A>: the lying French presses.
slant biceps curl	exercise for the <a href="bword://biceps">biceps</A>.<HR>Directions: same as the <a href="bword://dumbbell biceps curl">dumbbell biceps curl</A>, except you sit on a <a href="bword://weight bench">bench</A> with the back inclined a few inches.
sliced|ripped	adjective to describe a very cut bodybuilder whose muscles are more defined in that some cross-striations are visible. Occurs when the bodybuilder has low bodyfat levels and excellent muscle separation. ripped</A>
sliced & diced	adjectives to describe an optimal condition on competition day. See <a href="bword://cut to the bone">cut to the bone</A>.
slow-twitch fibers	muscle cells that contract slowly, are resistant to fatigue, and are used in endurance activities like long-distance running, cycling, and swimming.<BR><I>See also </I><a href="bword://fast-twitch fibers">fast-twitch fibers</A>
smooth	adjective to describe a not optimal condition on competition day. Occurs when a bodybuilder has nice, full-bodied muscles but no muscular <a href="bword://cut">cuts</A> or <a href="bword://definition">definition</A> .
soft	adjective to describe not good quality muscle. Occurs when the bodybuilder has too much <a href="bword://subcutaneous">subcutaneous</A> water and <a href="bword://fat">fat</A> .
speed	a technique and a <a href="bword://Weider Principle">Weider Principle</A> in which you use heavy weight in strict, controlled form exploding off the bottom of the movement as quickly as you can.
split system	a technique and a <a href="bword://Weider Principle">Weider Principle</A> which allows you to increase your level of intensity by training your body through variuos combinations. The combinations are many. It skyrocket workout intensity.
spot|close spot	<I>v. </I>stand ready to assist an athlete performing a set with heavy weights during an exercise.
spotter|close spot|to spot	who stands ready to assist an athlete performing a set with heavy weights during an exercise.
sprain	injury involving the torning or over-stretching of a <a href="bword://ligament">ligament</A>.
squat|back squat	exercise for <a href="bword://quads">quads</A> and <a href="bword://glutes">glutes</A> . <HR>Directions: put a <a href="bword://bar">bar </A> across your shoulders while you are in a standing position and, keeping your torso as upright as possible, squat down until the tops of your thighs are about parallel to the floor. Always make sure your knees travel in a direct line over your big toes. For more stability, you may want to slightly elevate your heels. <BR>
stacking	usually mixing one or more supplements or steroids together.<BR>
staggered sets	a technique and a <a href="bword://Weider Principle">Weider Principle</A> in which you stagger your smaller, slower-developing body parts between <a href="bword://set">sets</A> for larger muscle groups. This allows your weaker body part to be trained without taking away from the primary muscle group you are training.
stance	foot and leg position during the performance of an exercise.<BR>
standard plate	a weight plate designed to be mounted on a one-inch diameter bar. Usually round with a central hole of about 1-1/8", they are commonly available in 1-1/4, 2-1/2, 5, 10, 25, and 50 pound sizes. <BR>
standing barbell curl	exercise for the biceps.<HR>Directions: same as <a href="bword://barbell biceps curl">barbell biceps curl</A>, except you stand.
standing calf machine	1 - a piece of equipment to train the calves<BR><img src="DD0B1FB5.jpg" width="110" height="113"><HR>2 - exercise for the calves, isolating the gastrocnemius.<HR>Directions: same as the <a href="bword://standing calf raise">standing calf raise</A> , exept you stand with your shoulders snugly underneath the two pads of the standing calf machine and your heels hanging off the edge of the platform.
standing calf raise	exercise for the calves.<HR>Directions: stand on the edge of a step. Stand tall with the balls of your feet firmly planted on the step and your heels hanging over the edge. Grasp a sturdy object for balance. Raise your heels a few inches above the edge of the step so that you are on your tip toes. Lower your heels below the platform in order to stretch your calf muscles.
standing curl	exercise for the <a href="bword://biceps">biceps</A>.<HR>Directions: in a standing position, grip the <a href="bword://bar">bar</A> slightly wider than shoulder-width, and keep your elbows locked at your sides. Curl until the biceps are <a href="bword://peak contraction">peak-contracted</A>.
steroids|'oids|'roids|gear|juice|sauce	a group of synthetic, testosteronelike hormones that promote anabolism, including muscle hypertrophy.<BR>
stiff-legged deadlift	exercise for the <a href="bword://hamstrings">hamstrings</A> .<HR>Directions: same as <a href="bword://deadlift">deadlifts</A> , except you are on a platform for a greater stretch, and your legs remain in a nearly locked-out position from start to finish. The back is tight and slightly arched.
straight short bar	a <a href="bword://cable attachments">cable attachment</A> commonly used for <a href="bword://triceps">triceps</A> exercises, biceps<a href="bword://biceps curl"> curls</A> , and <a href="bword://rows">rows.</A>
strain	injury involving the overstretching or tearing of a <a href="bword://tendon">tendon</A>.
striated	adjective to describe <a href="bword://definition">definition</A> .<BR><I>See also </I><a href="bword://striations">striations</A><I>.</I>
striations	the linear details across a muscle that look like fine lines. Occurs after a bodybuilder has achieved maximum muscularity and minimum <a href="bword://bodyfat">bodyfat</A>.<BR><I>See also </I><a href="bword://striated">striated</A><I>.</I>
stripping|descending sets	having one or more <a href="bword://spotter">spotters</A> remove <a href="bword://plate">plates</A> from the <a href="bword://bar">bar</A> during a <a href="bword://set">set</A> so that the lifter can continue with a lighter weight after having reached failure .<BR><I>Same as </I><a href="bword://descending sets">descending sets</A> <I>.</I><BR>
structural exercises	exercises which are multi-joint in nature and typically involve several different muscles.<BR>
subcutaneous	between the muscle and skin.
sumo-style deadlifts	A style of <a href="bword://deadlift">deadlifts</A> performed with the feet wider than shoulder-width apart and the arms closer together and in between the knees. As the lifter's torso descends, the knees travel outwards (and slightly forwards). <BR>
superset	a technique and a <a href="bword://Weider Principle">Weider Principle</A> in which you group two exercises together for opposing muscle groups. As soon as you finish the <a href="bword://set">set</A> of the first exercise, immediately do a <a href="bword://set">set</A> of the second exercise with little or no <a href="bword://rest">rest</A>.
supinated grip	a <a href="bword://grip">grip</A> on the bar when your palms are up and facing towards you, your thumbs are pointing outwards. <BR><I>See also </I><a href="bword://pronated grip">pronated grip</A> <I>.</I>
synthol	a patented injectable used to enhance muscle size. Its use is banned.
taper off	<I>v. </I>reducing quantities taken of a steroid or supplement at the end of a <a href="bword://cycle">cycle</A> .<BR>
tendon	tough, cord-like tissue at the ends of the muscle where the muscle tapers off and attaches to the bone.
trapbar	a weight <a href="bword://bar">bar</A> with a diamond-shaped section in the middle, typically used for deadlifts and shrugs. During the exercise, the lifter stands inside the diamond and grips the transverse handholds on either side of the diamond. <BR>Web site: <a href="http://www.trapbar.com">www.trapbar.com</A>
traps	jargon term for trapezius, upper back.<BR><img src="E5A5F254.jpg" width="229" height="264">
traveling lunge	exercise for <a href="bword://quads">quads</A> , <a href="bword://glutes">glutes</A> , and <a href="bword://hams">hams</A> .<HR>Directions: same as <a href="bword://lunge">lunge</A>, except you alternate legs so that you travel forward at each repetition. You need some space to do this.
tri|tri's|triceps|tris	abbreviated jargon for <a href="bword://triceps">triceps</A>.
tri's|tri|triceps|tris	abbreviated jargon for <a href="bword://triceps">triceps</A> .
tri-set	a technique and a <a href="bword://Weider Principle">Weider Principle</A> in which you do three exercises for the same muscle group without a pause.
triceps|tri|tri's|tris	three-headed muscle (hence &quottri-") forming the bulk of the back of the arm. Its function is to extend the elbow. <BR><img src="6FD63463.jpg" width="129" height="170">
triceps pushdown	exercise for the <a href="bword://triceps">triceps</A> .<HR>Directions: attach a <a href="bword://straight short bar">straight</A> or U-shaped bar at a <a href="bword://pulley">cable pulley</A> . Grasp the <a href="bword://bar">bar</A> with your palms facing down. Push the <a href="bword://bar">bar</A> straight down, keeping your elbows close to your sides. Then bend your arms to allow the <a href="bword://bar">bar</A> to slowly rise until your arms are slightly above parallel to the ground.
triple-split	a technique and a <a href="bword://Weider Principle">Weider Principle</A> that involves training three times a day, working a different body part each session.
tris|tri|tri's|triceps	abbreviated jargon for <a href="bword://triceps">triceps</A> .
underhand false grip	<a href="bword://underhand grip">underhand grip</A> with your thumbs under the bar or the handle.
underhand grip	<I>See</I> <a href="bword://pronated grip">pronated grip</A>.
upper back	jargon for <a href="bword://latissimus dorsi">latissimus dorsi</A> , <a href="bword://traps">trapezius</A> and rhomboids.<BR><I>See also </I><a href="bword://lower back">lower back</A><I>.</I>
upright row	exercise for the upper <a href="bword://traps">traps</A> .<HR>Directions: take a shoulder-width <a href="bword://overhand grip">overhand grip</A>. Keep the <a href="bword://bar">bar</A> close to your body and raise it up to about chin level, making sure to elevate your shoulders.
v-taper	a bodybuilder with big shoulders and a small waist.
vascularity	a condition in which the blood vessels in the body of a bodybuilder are prominent. It is related to low <a href="bword://bodyfat">bodyfat</A> levels, maximum muscle, and a result of exercise.
wangs	slang word for back.
washboard	slang for well developed <a href="bword://abs">abs</A>.
water retention	when your body holds <a href="bword://subcutaneous">subcutaneous</A> water and you look bloated. It is a negative thing before a contest as definition is hidden.
weight bench	a piece of bodybuilding equipment. These sturdy, padded benches comes in a variety of designs and may be adjustable to flat bench, vertical bench, incline bench, decline bench.<BR><img src="E6F56117.jpg" align="center" width="110" height="107">
weight collars	any kind of sleeve which may be slipped over the end of a weight <a href="bword://bar">bar</A> after the plates have been put on and then tightened to hold the <a href="bword://plate">plates</A> securely on the bar. This prevents plates from slipping off the end of the <a href="bword://bar">bar</A> , shifting position, or rattling during the exercise. <BR>
weight machine	equipment moved in the performance of an exercise which use <a href="bword://cam">cams</A> , lever arms, <a href="bword://pulley">pulleys</A> , or <a href="bword://cable">cables</A> to redirect or alter the resistance, or generate the resistance through springs, hydraulic or pneumatic pistons, magnets, or elastic bands rather than <a href="bword://free weights">free weights</A> . <BR>
weight stack	a pile of weight <a href="bword://plate">plates</A> drilled so that they can slide vertically on poles, most often two fixed solid rods and one moveable rod with a series of holes along its length, with a horizonal hole or gap in each plate such that a pin may be inserted through the hole or gap in the plate and into a matching hole in the moveable rod. This weight and all those above it may then be lifted by the moveable rod, which is typically attached to a <a href="bword://cable">cable</A> or lever arm. <BR>
weighted crunch	exercise for the <a href="bword://abs">abs</A>.<HR>Directions: same as <a href="bword://crunch">crunch</A>, except you have extra resistance holding a weight <a href="bword://plate">plate</A> on your chest, or on top of or behind your head.
wings	slang word for the back.
work down the rack	<I>v. </I>using a sequence of <a href="bword://dumbbell">dumbbells</A> or (less commonly) <a href="bword://barbell">barbells</A> with decreasing weights, a lifter performs an exercise to failure with one weight and then immediately switches to the next ligher weight. <BR>
workout	<I> See </I><a href="bword://routine">routine</A><I>.</I>
wrist curl	exercise for the forearms.<HR>Directions: rest your arms on a flat bench, firmly anchoring your wrists - with the palm up - just slightly over the edge of the bench. Take a bar with an <a href="bword://underhand grip">underhand grip</A>. Relax your wrists, then bring your hands up as you curl the weight toward your forearms.
wrists	jargon term for the forearm muscles, the many muscles that run from your wrist to the bottom of your elbow.
0C972C0E.jpg	File: 0C972C0E.jpg
0F883E93.jpg	File: 0F883E93.jpg
20166524.jpg	File: 20166524.jpg
222DE6E3.jpg	File: 222DE6E3.jpg
256420B7.jpg	File: 256420B7.jpg
26536A7C.jpg	File: 26536A7C.jpg
3628E0E2.jpg	File: 3628E0E2.jpg
3846FF6F.jpg	File: 3846FF6F.jpg
3A189306.jpg	File: 3A189306.jpg
3F7E6850.jpg	File: 3F7E6850.jpg
54776916.jpg	File: 54776916.jpg
5FD1701A.jpg	File: 5FD1701A.jpg
63DFCCCD.jpg	File: 63DFCCCD.jpg
6B40F6F1.jpg	File: 6B40F6F1.jpg
6FD63463.jpg	File: 6FD63463.jpg
8634B165.jpg	File: 8634B165.jpg
8EAF66FD.bmp	File: 8EAF66FD.bmp
912B17B0.jpg	File: 912B17B0.jpg
9710E881.jpg	File: 9710E881.jpg
A2691263.jpg	File: A2691263.jpg
B8A276EA.jpg	File: B8A276EA.jpg
C2EEF3F6.html	File: C2EEF3F6.html
C61A7B6F.jpg	File: C61A7B6F.jpg
CC4A9677.jpg	File: CC4A9677.jpg
CEB0684B.jpg	File: CEB0684B.jpg
D04FB4ED.jpg	File: D04FB4ED.jpg
DD0B1FB5.jpg	File: DD0B1FB5.jpg
E4AA3660.jpg	File: E4AA3660.jpg
E5A5F254.jpg	File: E5A5F254.jpg
E6F56117.jpg	File: E6F56117.jpg
EF159F87.jpg	File: EF159F87.jpg
